PosRank,Rank,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
1,0,Aaron Rodgers,GNB,QB,28,15,15,343,502,4643,6,60,257,0,0,0,0,5,0,4643,45,502,257,3,60,0,0,397.42
2,1,Drew Brees,NOR,QB,32,16,16,468,657,5476,14,21,86,0,0,0,0,1,1,5476,46,657,86,1,21,0,0,387.64
1,2,Ray Rice,BAL,RB,24,16,16,1,1,1,0,291,1364,104,76,704,9.26,2,2,1,1,1,1364,12,291,704,3,372.84
1,3,Calvin Johnson,DET,WR,26,16,16,0,0,0,0,1,11,158,96,1681,17.51,1,1,0,0,0,11,0,1,1681,16,359.2
3,4,Cam Newton,CAR,QB,22,16,16,310,517,4051,17,126,706,1,1,27,27,5,2,4051,21,517,706,14,126,27,0,366.34
1,5,Rob Gronkowski,NWE,TE,22,16,16,0,0,0,0,1,2,124,90,1327,14.74,0,0,0,0,0,2,1,1,1327,17,330.9
4,6,Tom Brady,NWE,QB,34,16,16,401,611,5235,12,43,109,0,0,0,0,6,2,5235,39,611,109,3,43,0,0,366.3
2,7,LeSean McCoy,PHI,RB,23,15,15,0,0,0,0,273,1309,69,48,315,6.56,1,1,0,0,0,1309,17,273,315,3,328.4
5,8,Matthew Stafford,DET,QB,23,16,16,421,663,5038,16,22,78,0,0,0,0,5,1,5038,41,663,78,0,22,0,0,339.32
3,9,Maurice Jones-Drew,JAX,RB,26,16,16,0,0,0,0,343,1606,64,43,374,8.7,6,1,0,0,0,1606,8,343,374,3,305
4,10,Arian Foster,HOU,RB,25,13,13,0,0,0,0,278,1224,72,53,617,11.64,6,2,0,0,0,1224,10,278,617,2,305.1
2,11,Jordy Nelson,GNB,WR,26,16,9,0,0,0,0,0,0,96,68,1263,18.57,0,0,0,0,0,0,0,0,1263,15,284.3
2,12,Jimmy Graham,NOR,TE,25,16,11,0,0,0,0,0,0,149,99,1310,13.23,1,1,0,0,0,0,0,0,1310,11,294
3,13,Wes Welker,NWE,WR,30,16,15,0,0,0,0,4,30,173,122,1569,12.86,1,0,0,0,0,30,0,4,1569,9,335.9
4,14,Victor Cruz,NYG,WR,25,16,7,0,0,0,0,1,3,131,82,1536,18.73,1,1,0,0,0,3,0,1,1536,9,287.9
5,15,Larry Fitzgerald,ARI,WR,28,16,16,0,0,0,0,0,0,154,80,1411,17.64,0,0,0,0,0,0,0,0,1411,8,269.1
6,16,Steve Smith,CAR,WR,32,16,16,0,0,0,0,6,56,129,79,1394,17.65,3,2,0,0,0,56,0,6,1394,7,262
5,17,Marshawn Lynch,SEA,RB,25,15,15,0,2,0,0,285,1204,41,28,212,7.57,3,2,0,0,2,1204,12,285,212,1,243.6
6,18,Michael Turner,ATL,RB,29,16,15,0,0,0,0,301,1340,26,17,168,9.88,3,2,0,0,0,1340,11,301,168,0,229.8
7,19,Percy Harvin,MIN,WR,23,16,14,0,0,0,0,52,345,121,87,967,11.11,2,2,0,0,0,345,2,52,967,6,262.2
8,20,Roddy White,ATL,WR,30,16,16,0,0,0,0,0,0,180,100,1296,12.96,0,0,0,0,0,0,0,0,1296,8,277.6
6,21,Eli Manning,NYG,QB,30,16,16,359,589,4933,16,35,15,0,0,0,0,8,4,4933,29,589,15,1,35,0,0,280.82
9,22,Mike Wallace,PIT,WR,25,16,14,0,0,0,0,5,57,114,72,1193,16.57,1,1,0,0,0,57,0,5,1193,8,243
10,23,Vincent Jackson,SDG,WR,28,16,16,0,0,0,0,3,51,115,60,1106,18.43,0,0,0,0,0,51,0,3,1106,9,229.7
7,24,Tony Romo,DAL,QB,31,16,16,346,522,4184,10,22,46,0,0,0,0,7,3,4184,31,522,46,1,22,0,0,275.96
8,25,Matt Ryan,ATL,QB,26,16,16,347,566,4177,12,37,84,0,0,0,0,5,3,4177,29,566,84,2,37,0,0,273.48
11,26,Marques Colston,NOR,WR,28,14,7,0,0,0,0,0,0,107,80,1143,14.29,1,1,0,0,0,0,0,0,1143,8,240.3
12,27,Hakeem Nicks,NYG,WR,23,15,15,0,0,0,0,0,0,133,76,1192,15.68,0,0,0,0,0,0,0,0,1192,7,237.2
13,28,Brandon Marshall,MIA,WR,27,16,16,0,0,0,0,1,13,141,81,1214,14.99,1,1,0,0,0,13,0,1,1214,6,237.7
7,29,Ryan Mathews,SDG,RB,24,14,14,0,0,0,0,222,1091,59,50,455,9.1,5,2,0,0,0,1091,6,222,455,0,236.6
8,30,Adrian Peterson,MIN,RB,26,12,12,0,0,0,0,208,970,24,18,139,7.72,1,0,0,0,0,970,12,208,139,1,206.9
3,31,Aaron Hernandez,NWE,TE,22,14,12,0,0,0,0,5,45,113,79,910,11.52,1,1,0,0,0,45,0,5,910,7,214.5
9,32,Michael Bush,OAK,RB,27,16,9,0,0,0,0,256,977,47,37,418,11.3,1,1,0,0,0,977,7,256,418,1,222.5
10,33,Darren Sproles,NOR,RB,28,16,4,0,0,0,0,87,603,111,86,710,8.26,1,0,0,0,0,603,2,87,710,7,271.3
14,34,A.J. Green,CIN,WR,23,15,15,0,0,0,0,5,53,115,65,1057,16.26,1,0,0,0,0,53,0,5,1057,7,218
9,35,Philip Rivers,SDG,QB,30,16,16,366,582,4624,20,26,36,0,0,0,0,9,5,4624,27,582,36,1,26,0,0,252.56
15,36,Laurent Robinson,DAL,WR,26,14,4,0,0,0,0,0,0,80,54,858,15.89,0,0,0,0,0,0,0,0,858,11,205.8
11,37,Steven Jackson,STL,RB,28,15,15,0,0,0,0,260,1145,58,42,333,7.93,2,1,0,0,0,1145,5,260,333,1,223.8
16,38,Nate Washington,TEN,WR,28,16,15,0,0,0,0,2,5,121,74,1023,13.82,0,0,0,0,0,5,1,2,1023,7,224.8
12,39,Frank Gore,SFO,RB,28,16,15,0,0,0,0,282,1211,31,17,114,6.71,2,2,0,0,0,1211,8,282,114,0,193.5
17,40,Julio Jones,ATL,WR,22,13,13,0,0,0,0,6,56,95,54,959,17.76,1,1,0,0,0,56,0,6,959,8,201.5
18,41,Greg Jennings,GNB,WR,28,13,13,0,0,0,0,0,0,101,67,949,14.16,0,0,0,0,0,0,0,0,949,9,215.9
4,42,Tony Gonzalez,ATL,TE,35,16,16,0,0,0,0,0,0,116,80,875,10.94,0,0,0,0,0,0,0,0,875,7,209.5
13,43,Reggie Bush,MIA,RB,26,15,15,0,0,0,0,216,1086,52,43,296,6.88,4,2,0,0,0,1086,6,216,296,1,219.2
19,44,Dez Bryant,DAL,WR,23,15,13,0,0,0,0,1,5,103,63,928,14.73,3,2,0,0,0,5,0,1,928,9,206.3
20,45,Dwayne Bowe,KAN,WR,27,16,14,0,0,0,0,1,12,142,81,1159,14.31,1,0,0,0,0,12,0,1,1159,5,228.1
5,46,Jermichael Finley,GNB,TE,24,16,13,0,0,0,0,0,0,92,55,767,13.95,0,0,0,0,0,0,0,0,767,8,179.7
6,47,Jason Witten,DAL,TE,29,16,16,0,0,0,0,0,0,117,79,942,11.92,1,0,0,0,0,0,0,0,942,5,203.2
10,48,Mark Sanchez,NYJ,QB,25,16,16,308,543,3474,18,37,103,0,0,0,0,10,8,3474,26,543,103,6,37,0,0,237.26
21,49,Steve Johnson,BUF,WR,25,16,16,0,0,0,0,0,0,134,76,1004,13.21,0,0,0,0,0,0,0,0,1004,7,218.4
14,50,Fred Jackson,BUF,RB,30,10,10,0,0,0,0,170,934,50,39,442,11.33,2,2,0,0,0,934,6,170,442,0,208.6
15,51,Matt Forte,CHI,RB,26,12,12,0,1,0,0,203,997,76,52,490,9.42,2,2,0,0,1,997,3,203,490,1,220.7
7,52,Antonio Gates,SDG,TE,31,13,13,0,0,0,0,0,0,88,64,778,12.16,0,0,0,0,0,0,0,0,778,7,183.8
16,53,Chris Johnson,TEN,RB,26,16,16,0,0,0,0,262,1047,79,57,418,7.33,3,1,0,0,0,1047,4,262,418,0,225.5
