PosRank,Rank,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
1,0,David Johnson,ARI,RB,25,16,16,0,0,0,0,293,1239,120,80,879,10.99,5,3,0,0,0,1239,16,293,879,4,405.8
2,1,Ezekiel Elliott,DAL,RB,21,15,15,0,0,0,0,322,1631,39,32,363,11.34,5,1,0,0,0,1631,15,322,363,1,325.4
3,2,LeSean McCoy,BUF,RB,28,15,15,0,0,0,0,234,1267,57,50,356,7.12,3,0,0,0,0,1267,13,234,356,1,296.3
1,3,Aaron Rodgers,GNB,QB,33,16,16,401,610,4428,7,67,369,0,0,0,0,8,4,4428,40,610,369,4,67,0,0,376.02
4,4,DeMarco Murray,TEN,RB,28,16,16,1,2,10,0,293,1287,67,53,377,7.11,3,1,10,1,2,1287,9,293,377,3,293.8
5,5,Le'Veon Bell,PIT,RB,24,12,12,0,1,0,0,261,1268,94,75,616,8.21,4,1,0,0,1,1268,7,261,616,2,315.4
6,6,Devonta Freeman,ATL,RB,24,16,16,0,0,0,0,227,1079,65,54,462,8.56,1,1,0,0,0,1079,11,227,462,2,284.1
7,7,LeGarrette Blount,NWE,RB,30,16,8,0,0,0,0,299,1161,8,7,38,5.43,2,1,0,0,0,1161,18,299,38,0,232.9
2,8,Matt Ryan,ATL,QB,31,16,16,373,534,4944,7,35,117,0,0,0,0,4,2,4944,38,534,117,0,35,0,0,343.46
1,9,Mike Evans,TAM,WR,23,16,16,0,0,0,0,0,0,173,96,1321,13.76,0,0,0,0,0,0,0,0,1321,12,300.1
2,10,Jordy Nelson,GNB,WR,31,16,16,0,0,0,0,0,0,152,97,1257,12.96,1,1,0,0,0,0,0,0,1257,14,304.7
3,11,Antonio Brown,PIT,WR,28,15,15,0,0,0,0,3,9,154,106,1284,12.11,0,0,0,0,0,9,0,3,1284,12,307.3
8,12,Melvin Gordon,SDG,RB,23,13,11,0,0,0,0,254,997,57,41,419,10.22,2,2,0,0,0,997,10,254,419,2,250.6
9,13,Jordan Howard,CHI,RB,22,15,13,0,0,0,0,252,1313,50,29,298,10.28,2,1,0,0,0,1313,6,252,298,1,230.1
4,14,Odell Beckham,NYG,WR,24,16,16,0,0,0,0,1,9,169,101,1367,13.53,3,1,0,0,0,9,0,1,1367,10,296.6
3,15,Drew Brees,NOR,QB,37,16,16,471,673,5208,15,23,20,0,0,0,0,5,4,5208,37,673,20,2,23,0,0,332.32
10,16,Mark Ingram,NOR,RB,27,16,14,0,0,0,0,205,1043,58,46,319,6.93,2,2,0,0,0,1043,6,205,319,4,238.2
5,17,T.Y. Hilton,IND,WR,27,16,16,0,0,0,0,0,0,155,91,1448,15.91,0,0,0,0,0,0,0,0,1448,6,271.8
11,18,Jay Ajayi,MIA,RB,23,15,12,0,0,0,0,260,1272,35,27,151,5.59,4,1,0,0,0,1272,8,260,151,0,215.3
6,19,Julio Jones,ATL,WR,27,14,14,0,0,0,0,0,0,129,83,1409,16.98,0,0,0,0,0,0,0,0,1409,6,259.9
1,20,Travis Kelce,KAN,TE,27,16,15,0,0,0,0,1,-5,117,85,1125,13.24,0,0,0,0,0,-5,0,1,1125,4,221
7,21,Davante Adams,GNB,WR,24,16,15,0,0,0,0,0,0,121,75,997,13.29,2,1,0,0,0,0,0,0,997,12,244.7
12,22,Frank Gore,IND,RB,33,16,16,0,0,0,0,263,1025,47,38,277,7.29,2,1,0,0,0,1025,4,263,277,4,214.2
13,23,Latavius Murray,OAK,RB,26,14,12,0,0,0,0,195,788,43,33,264,8,2,1,0,0,0,788,12,195,264,0,208.2
8,24,Brandin Cooks,NOR,WR,23,16,12,0,0,0,0,6,30,117,78,1173,15.04,1,0,0,0,0,30,0,6,1173,8,246.3
2,25,Greg Olsen,CAR,TE,31,16,16,0,0,0,0,0,0,129,80,1073,13.41,0,0,0,0,0,0,0,0,1073,3,205.3
4,26,Andrew Luck,IND,QB,27,15,15,346,545,4240,13,64,341,0,0,0,0,6,5,4240,31,545,341,2,64,0,0,303.7
3,27,Kyle Rudolph,MIN,TE,27,16,16,0,0,0,0,0,0,132,83,840,10.12,0,0,0,0,0,0,0,0,840,7,209
5,28,Kirk Cousins,WAS,QB,28,16,16,406,606,4917,12,34,96,0,0,0,0,9,3,4917,25,606,96,4,34,0,0,300.28
9,29,Michael Thomas,NOR,WR,23,15,12,0,0,0,0,0,0,121,92,1137,12.36,2,2,0,0,0,0,0,0,1137,9,255.7
10,30,Doug Baldwin,SEA,WR,28,16,15,1,1,15,0,3,2,125,94,1128,12,1,0,15,1,1,2,0,3,1128,7,253.6
4,31,Jimmy Graham,SEA,TE,30,16,15,0,0,0,0,1,0,95,65,923,14.2,2,2,0,0,0,0,0,1,923,6,189.3
5,32,Delanie Walker,TEN,TE,32,15,10,0,0,0,0,2,11,102,65,800,12.31,1,0,0,0,0,11,0,2,800,7,188.1
14,33,Isaiah Crowell,CLE,RB,23,16,16,0,0,0,0,198,952,53,40,319,7.98,2,2,0,0,0,952,7,198,319,0,205.1
15,34,Carlos Hyde,SFO,RB,26,13,13,0,0,0,0,217,988,33,27,163,6.04,5,3,0,0,0,988,6,217,163,3,190.1
16,35,Spencer Ware,KAN,RB,25,14,14,0,0,0,0,214,921,42,33,447,13.55,4,3,0,0,0,921,3,214,447,2,193.8
17,36,Lamar Miller,HOU,RB,25,14,14,0,0,0,0,268,1073,39,31,188,6.06,2,1,0,0,0,1073,5,268,188,1,191.1
18,37,Tevin Coleman,ATL,RB,23,13,0,0,0,0,0,118,520,40,31,421,13.58,1,0,0,0,0,520,8,118,421,3,191.1
11,38,Michael Crabtree,OAK,WR,29,16,16,0,0,0,0,0,0,145,89,1003,11.27,2,0,0,0,0,0,0,0,1003,8,237.3
12,39,Amari Cooper,OAK,WR,22,16,14,0,0,0,0,1,0,132,83,1153,13.89,2,0,0,0,0,0,0,1,1153,5,228.3
6,40,Dak Prescott,DAL,QB,23,16,16,311,459,3667,4,57,282,0,0,0,0,9,4,3667,23,459,282,6,57,0,0,286.88
6,41,Cameron Brate,TAM,TE,25,15,10,0,0,0,0,0,0,81,57,660,11.58,1,0,0,0,0,0,0,0,660,8,171
7,42,Martellus Bennett,NWE,TE,29,16,12,0,0,0,0,2,10,73,55,701,12.75,0,0,0,0,0,10,0,2,701,7,168.1
19,43,Jeremy Hill,CIN,RB,24,15,13,0,0,0,0,222,839,27,21,174,8.29,0,0,0,0,0,839,9,222,174,0,176.3
20,44,Todd Gurley,LAR,RB,22,16,16,0,0,0,0,278,885,58,43,327,7.6,2,1,0,0,0,885,6,278,327,0,198.2
13,45,Rishard Matthews,TEN,WR,27,16,10,0,0,0,0,0,0,108,65,945,14.54,1,1,0,0,0,0,0,0,945,9,211.5
21,46,Matt Forte,NYJ,RB,31,14,13,0,0,0,0,218,813,43,30,263,8.77,1,1,0,0,0,813,7,218,263,1,183.6
14,47,Tyrell Williams,SDG,WR,24,16,12,0,0,0,0,0,0,119,69,1059,15.35,0,0,0,0,0,0,0,0,1059,7,216.9
8,48,Zach Ertz,PHI,TE,26,14,12,0,0,0,0,0,0,106,78,816,10.46,0,0,0,0,0,0,0,0,816,4,183.6
9,49,Jordan Reed,WAS,TE,26,12,8,0,0,0,0,0,0,89,66,686,10.39,1,1,0,0,0,0,0,0,686,6,168.6
7,50,Matthew Stafford,DET,QB,28,16,16,388,594,4327,10,37,207,1,0,0,0,3,2,4327,24,594,207,2,37,0,0,277.78
15,51,Bilal Powell,NYJ,WR,28,16,4,0,0,0,0,131,722,74,58,388,6.69,1,1,0,0,0,722,3,131,388,2,197
16,52,Terrelle Pryor,CLE,WR,27,16,15,5,9,41,0,8,21,140,77,1007,13.08,1,0,41,0,9,21,1,8,1007,4,211.44
17,53,Tyreek Hill,KAN,WR,22,16,1,0,0,0,0,24,267,83,61,593,9.72,4,1,0,0,0,267,3,24,593,6,199
18,54,Jarvis Landry,MIA,WR,24,16,16,0,1,0,0,5,17,131,94,1136,12.09,2,2,0,0,1,17,0,5,1136,4,229.3
19,55,Larry Fitzgerald,ARI,WR,33,16,16,0,1,0,0,2,5,150,107,1023,9.56,2,1,0,0,1,5,0,2,1023,6,243.8
