Player,Name,Team,Position,College
1,Baker Mayfield,Browns,QB,Oklahoma
2,Saquon Barkley,Giants,RB,Penn State
3,Sam Darnold,Jets,QB,USC
4,Denzel Ward,Browns,DB,Ohio State
5,Bradley Chubb,Broncos,DE,North Carolina State
6,Quenton Nelson,Colts,G,Notre Dame
7,Josh Allen,Bills,QB,Wyoming
8,Roquan Smith,Bears,LB,Georgia
9,Mike McGlinchey,49ers,T,Notre Dame
10,Josh Rosen,Cardinals,QB,UCLA
11,Minkah Fitzpatrick,Dolphins,DB,Alabama
12,Vita Vea,Buccaneers,DT,Washington
13,Da'Ron Payne,Redskins,DT,Alabama
14,Marcus Davenport,Saints,DE,Texas-San Antonio
15,Kolton Miller,Raiders,T,UCLA
16,Tremaine Edmunds,Bills,LB,Virginia Tech
17,Derwin James,Chargers,DB,Florida State
18,Jaire Alexander,Packers,DB,Louisville
19,Leighton Vander Esch,Cowboys,LB,Boise State
20,Frank Ragnow,Lions,C,Arkansas
21,Billy Price,Bengals,C,Ohio State
22,Rashaan Evans,Titans,LB,Alabama
23,Isaiah Wynn,Patriots,G,Georgia
24,D.J. Moore,Panthers,WR,Maryland
25,Hayden Hurst,Ravens,TE,South Carolina
26,Calvin Ridley,Falcons,WR,Alabama
27,Rashaad Penny,Seahawks,RB,San Diego State
28,Terrell Edmunds,Steelers,DB,Virginia Tech
29,Taven Bryan,Jaguars,DT,Florida
30,Mike Hughes,Vikings,DB,Central Florida
31,Sony Michel,Patriots,RB,Georgia
32,Lamar Jackson,Ravens,QB,Louisville
33,Austin Corbett,Browns,C,Nevada
34,Will Hernandez,Giants,G,Texas-El Paso
35,Nick Chubb,Browns,RB,Georgia
36,Darius Leonard,Colts,LB,South Carolina State
37,Braden Smith,Colts,G,Auburn
38,Ronald Jones,Buccaneers,RB,USC
39,James Daniels,Bears,C,Iowa
40,Courtland Sutton,Broncos,WR,Southern Methodist
41,Harold Landry,Titans,DE,Boston College
42,Mike Gesicki,Dolphins,TE,Penn State
43,Kerryon Johnson,Lions,RB,Auburn
44,Dante Pettis,49ers,WR,Washington
45,Joshua Jackson,Packers,DB,Iowa
46,Breeland Speaks,Chiefs,DT,Mississippi
47,Christian Kirk,Cardinals,WR,Texas A&M
