Name,PPG,top12,top12b,College,Position,DraftSpot,Age,Birthdate,HT,WT,40,VERT,Bench,Broad,3Cone,Shuttle,SpeedScore,BMI,Season1,Season2,Season3,Season4,Season5,YPC1,YPC2,YPC3,YPC4,YPC5,BestYPC,CAR1,CAR2,CAR3,CAR4,CAR5,BestCAR,RCMS1,RCMS2,RCMS3,RCMS4,RCMS5,BestRCMS,RTDMS1,RTDMS2,RTDMS3,RTDMS4,RTDMS5,BestRTDMS,RY1,RY2,RY3,RY4,RY5,RYMS1,RYMS2,RYMS3,RYMS4,RYMS5,BestRYMS,Breakout Age,YPrec1,YPrec2,YPrec3,YPrec4,YPrec5,BestYPrec,RecYDMS1,RecYDMS2,RecYDMS3,RecYDMS4,RecYDMS5,BestRecYDMS,RecTDMS1,RecTDMS2,RecTDMS3,RecTDMS4,RecTDMS5,BestRecTDMS,DOM1,DOM2,DOM3,DOM4,DOM5,BestDOM,BKRY,BKRN,BPRY,BPRN,BKMS,"BPMS
"
Coby Fleener,Stanford,8.620454545454546,2,1,TE,34,0,0,78.0,247.0,4.51,0,27.0,0,0,0,119.40452393190542,28.540598290598293,0,2007,2008,2009,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.94794542465752,13.0,12.0,15.0,19.0,0,19.0,0.10666666666666667,0.10826210826210826,0.14792092706203136,0.2256427604871448,0,0.2256427604871448,0.0,0.07692307692307693,0.28,0.35714285714285715,0,0.35714285714285715,0,0.10666666666666667,0.10826210826210826,0.14792092706203136,0.2256427604871448,0.2256427604871448,4.0,1.0,0,0.023255813953488372,0,"
"
Dwayne Allen,Clemson,8.036666666666667,0,0,TE,64,0,0,75.0,255.0,4.85,32.0,27.0,110.0,7.12,4.37,92.17289362149008,31.869333333333337,0,2007,2008,2009,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,11.0,12.0,0,0,12.0,0.04186046511627907,0.171889400921659,0.17818831942789035,0,0,0.17818831942789035,0.15,0.0625,0.32,0,0,0.32,0,0,0.04186046511627907,0.171889400921659,0.17818831942789035,0.17818831942789035,0,0,0,0,0,"
"
Michael Egnew,Missouri,0.7722222222222223,0,0,TE,78,0,0,77.0,252.0,4.52,36.0,21.0,131.0,7.03,4.32,120.7471245118773,29.879574970484065,0,2007,2008,2009,2010,2.0,0,0,0,0,2.0,3.0,0,0,0,0,3.0,0.005172413793103448,0,0,0,0,0.005172413793103448,0.0,0,0,0,0,0,8.0,0,0,0,0,0.0025078369905956114,0,0,0,0,0.0025078369905956114,20.83287642465757,5.0,8.0,8.0,10.0,0,10.0,0.004776378636561007,0.006764069264069264,0.3011857707509881,0.21029352633695214,0,0.3011857707509881,0.0,0.0,0.4166666666666667,0.15,0,0.4166666666666667,0,0.004776378636561007,0.006764069264069264,0.3011857707509881,0.21029352633695214,0.3011857707509881,0,0,0,0,0,"
"
Evan Rodriguez,Temple,0.305,0,0,TE,111,0,0,0.0,0,0,0,0,0,0,0,NA,0,0,2007,2008,2009,2010,1.0,0,0,0,0,1.0,1.0,0,0,0,0,1.0,0.0023752969121140144,0,0,0,0,0.0023752969121140144,0.0,0,0,0,0,0,1.0,0,0,0,0,0.0005449591280653951,0,0,0,0,0.0005449591280653951,22.945205424657615,11.0,11.0,14.0,0,0,14.0,0.0824332006822058,0.12557193695983732,0.449480642115203,0,0,0.449480642115203,0.3,0.15384615384615385,0.2222222222222222,0,0,0.3,0,0,0.0824332006822058,0.12557193695983732,0.449480642115203,0.449480642115203,0,0,0,0,0,"
"
Orson Charles,Georgia,0.6862068965517242,0,0,TE,116,0,0,74.0,251.0,4.73,0,35.0,0,0,0,100.29035167395392,32.22297297297297,0,2007,2008,2009,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,16.0,12.0,0,0,16.0,0.09315068493150686,0.11047120418848168,0.1220757124627818,0,0,0.1220757124627818,0.09375,0.0625,0.11627906976744186,0,0,0.11627906976744186,0,0,0.09315068493150686,0.11047120418848168,0.1220757124627818,0.1220757124627818,0,0,4.0,0,0.011904761904761904,"
"
Adrien Robinson,Cincinnati,0.8421052631578947,0,0,TE,127,0,0,0.0,0,0,0,0,0,0,0,NA,0,0,2007,2008,2009,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,17.0,10.0,15.0,0,17.0,0.0033994334277620396,0.0453125,0.021221025138752857,0.07279236276849642,0,0.07279236276849642,0.0,0.02631578947368421,0.038461538461538464,0.17647058823529413,0,0.17647058823529413,0,0.0033994334277620396,0.0453125,0.021221025138752857,0.07279236276849642,0.07279236276849642,0,0,0,0,0,"
"
James Hanna,Oklahoma,0.93125,0,0,TE,186,0,0,76.0,252.0,4.43,36.0,24.0,122.0,6.76,4.11,130.86262617582636,30.67105263157895,0,2007,2008,2009,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,16.0,14.0,0,16.0,0.0,0.00794044665012407,0.03318181818181818,0.04143105698129622,0,0.04143105698129622,0.0,0.0,0.1044776119402985,0.029850746268656716,0,0.1044776119402985,0,0.0,0.00794044665012407,0.03318181818181818,0.04143105698129622,0.04143105698129622,9.0,2.0,0,0.020833333333333332,0,"
"
Drake Dunsmore,Northwestern,0,0,0,TE,233,0,0,0.0,0,0,0,0,0,0,0,NA,0,0,2007,2008,2009,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,11.0,9.0,11.0,0,12.0,0.03965129358830146,0.1633354153653966,0.1418994413407821,0.18756737333812432,0,0.18756737333812432,0.0,0.17647058823529413,0.4166666666666667,0.3,0,0.4166666666666667,0,0.03965129358830146,0.1633354153653966,0.1418994413407821,0.18756737333812432,0.18756737333812432,0,0,0,0,0,"
"
David Paulson,Oregon,0.8218749999999999,0,0,TE,240,0,0,75.0,246.0,4.79,32.0,21.0,110.0,7.18,4.4,93.4594130278856,30.744533333333333,0,2007,2008,2009,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,17.0,14.0,0,0,17.0,0.032553228928382895,0.07964939024390244,0.07141692483287135,0,0,0.07964939024390244,0.0,0.08695652173913043,0.12244897959183673,0,0,0.12244897959183673,0,0,0.032553228928382895,0.07964939024390244,0.07141692483287135,0.07964939024390244,0,0,0,0,0,"
"
Brad Smelley,Alabama,0.325,0,0,TE,247,0,0,0.0,0,0,0,0,0,0,0,NA,0,0,2007,2008,2009,2010,1.0,0,0,0,0,1.0,1.0,0,0,0,0,1.0,0.002008032128514056,0,0,0,0,0.002008032128514056,0.0,0,0,0,0,0,1.0,0,0,0,0,0.00035137034434293746,0,0,0,0,0.00035137034434293746,0,14.0,7.0,9.0,10.0,0,14.0,0.04264577893820714,0.019372336303758234,0.016467065868263474,0.14584186808684965,0,0.14584186808684965,0.0,0.0,0.0,0.3333333333333333,0,0.3333333333333333,0,0.04264577893820714,0.019372336303758234,0.016467065868263474,0.14584186808684965,0.14584186808684965,0,0,0,0,0,"
"
