Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Jeremy Clark,DT,Alabama,College Stats,6-2,309,5.02,29,29,104,7.78,4.82,
Thomas Clayton,RB,Kansas State,College Stats,5-10,218,4.63,36.5,23,121,,,
David Clowney,WR,Virginia Tech,College Stats,6-0,188,4.36,32.5,,123,7,4.15,Green Bay Packers / 5th / 157th pick / 2007
Daniel Coats,TE,BYU,College Stats,6-3,257,4.94,30,34,111,7.07,4.43,
Michael Coe,CB,Arkansas,,6-1,190,4.53,35,17,122,6.78,4.31,Indianapolis Colts / 5th / 173rd pick / 2007
Joe Cohen,DT,Florida,College Stats,6-2,313,5.1,26,34,,,,San Francisco 49ers / 4th / 135th pick / 2007
Duane Coleman,CB,Clemson,College Stats,5-9,199,4.57,35.5,18,120,7.18,4.51,
Alonzo Coleman,RB,Kansas State,,5-10,207,4.49,,27,120,,,
Jemalle Cornelius,WR,Florida,College Stats,5-11,184,4.57,34.5,,123,6.99,4.3,
Jon Cornish,RB,Kansas,College Stats,5-11,206,4.62,34,,118,7.09,,
Mason Crosby,K,Colorado,College Stats,6-1,212,5.18,,,,,,Green Bay Packers / 6th / 193rd pick / 2007
Tim Crowder,DE,Texas,College Stats,6-4,272,4.69,30.5,32,111,7.28,4.32,Denver Broncos / 2nd / 56th pick / 2007
Quinton Culberson,OLB,Mississippi State,College Stats,6-1,236,4.77,29.5,18,113,,,
Craig Dahl,S,North Dakota State,,6-2,216,4.55,35,17,122,6.69,4.26,
Jessie Daniels,S,LSU,College Stats,5-11,216,4.54,,25,,,,
Kenneth Darby,RB,Alabama,College Stats,5-10,211,4.75,30,19,108,7.25,4.53,Tampa Bay Buccaneers / 7th / 246th pick / 2007
Doug Datish,C,Ohio State,College Stats,6-4,302,5.13,26,31,102,7.51,4.65,Atlanta Falcons / 6th / 198th pick / 2007
Chris Davis,WR,Florida State,College Stats,5-10,181,4.5,35.5,,115,6.66,4.14,Tennessee Titans / 4th / 128th pick / 2007
Buster Davis,WR,Florida State,College Stats,6-1,207,4.41,,,,,,Arizona Cardinals / 3rd / 69th pick / 2007
Buster Davis,ILB,Florida State,College Stats,5-9,239,4.64,31,24,104,7.28,4.37,Arizona Cardinals / 3rd / 69th pick / 2007
A.J. Davis,CB,North Carolina State,College Stats,5-10,193,4.56,,16,,,,Detroit Lions / 4th / 105th pick / 2007
Victor DeGrate,DE,Oklahoma State,College Stats,6-3,249,4.77,,19,,,,
Chris Denman,OT,Fresno State,College Stats,6-6,315,5.62,27.5,21,97,8.1,4.92,Tampa Bay Buccaneers / 7th / 214th pick / 2007
Zak DeOssie,ILB,Brown,,6-5,250,4.58,34.5,26,122,6.89,4.22,New York Giants / 4th / 116th pick / 2007
Tim Duckworth,OG,Auburn,,6-3,306,5.42,25,20,94,8.26,4.78,
Justin Durant,ILB,Kansas State,,6-1,230,4.51,36,25,121,6.77,4.09,Jacksonville Jaguars / 2nd / 48th pick / 2007
Quintin Echols,DT,Kansas State,College Stats,6-1,328,5.4,,25,,,,
Trent Edwards,QB,Stanford,College Stats,6-4,231,4.76,,19,,7.14,4.46,Buffalo Bills / 3rd / 92nd pick / 2007
Tala Esera,OT,Hawaii,,6-3,312,5.22,,,,,,
Earl Everett,OLB,Florida,College Stats,6-2,238,4.73,32,19,113,,,
Aaron Fairooz,WR,Central Arkansas,,6-6,209,4.49,36,,125,6.89,4.27,
Mark Fenton,C,Colorado,,6-4,290,5.15,,22,,,,
Brandon Fields,P,Michigan State,College Stats,6-5,239,5.26,,,,,,Miami Dolphins / 7th / 225th pick / 2007
Yamon Figurs,WR,Kansas State,College Stats,5-11,174,4.3,,,123,6.85,4.21,Baltimore Ravens / 3rd / 74th pick / 2007
Joel Filani,WR,Texas Tech,College Stats,6-2,211,4.57,32.5,17,117,,,Tennessee Titans / 6th / 188th pick / 2007
Nick Folk,K,Arizona,College Stats,6-1,225,4.95,,,,,,Dallas Cowboys / 6th / 178th pick / 2007
Jacob Ford,DE,Central Arkansas,,6-4,249,4.65,,19,,,,Tennessee Titans / 6th / 204th pick / 2007
Eric Frampton,S,Washington State,College Stats,5-11,204,4.61,34.5,10,122,6.84,4.17,Oakland Raiders / 5th / 165th pick / 2007
Doug Free,OT,Northern Illinois,,6-6,324,5.19,30,22,111,7.38,4.53,Dallas Cowboys / 4th / 122nd pick / 2007
Dustin Fry,C,Clemson,,6-3,314,5.28,,34,,,,St. Louis Rams / 5th / 139th pick / 2007
Brandon Frye,OT,Virginia Tech,,6-4,301,5.08,32.5,34,103,7.5,4.4,Houston Texans / 5th / 163rd pick / 2007
C.J. Gaddis,S,Clemson,College Stats,5-11,203,4.45,36.5,20,121,7.28,4.3,Philadelphia Eagles / 5th / 159th pick / 2007
Josh Gattis,S,Wake Forest,College Stats,6-1,206,4.51,34.5,22,121,6.72,4.27,Jacksonville Jaguars / 5th / 150th pick / 2007
Luke Getsy,QB,Akron,College Stats,6-2,222,4.96,32.5,,106,6.95,4.46,
Ted Ginn,WR,Ohio State,College Stats,5-11,178,4.38,,,,,,Miami Dolphins / 1st / 9th pick / 2007
Dashon Goldson,S,Washington,College Stats,6-2,205,4.6,34.5,12,115,7.37,4.46,San Francisco 49ers / 4th / 126th pick / 2007
Anthony Gonzalez,WR,Ohio State,College Stats,6-0,193,4.44,38,,123,6.54,4.08,Indianapolis Colts / 1st / 32nd pick / 2007
Adam Graessle,P,Pittsburgh,College Stats,6-4,215,4.84,,,,,,
Corey Graham,CB,New Hampshire,,6-0,195,4.42,,10,,,,Chicago Bears / 5th / 168th pick / 2007
Michael Griffin,S,Texas,College Stats,6-0,202,4.45,36,16,120,6.6,4.1,Tennessee Titans / 1st / 19th pick / 2007
Ben Grubbs,OG,Auburn,College Stats,6-3,311,5.18,26.5,29,103,7.99,4.72,Baltimore Ravens / 1st / 29th pick / 2007
Matt Gutierrez,QB,Idaho State,College Stats,6-4,232,5,29.5,,108,6.99,4.28,
Leon Hall,CB,Michigan,College Stats,5-11,193,4.39,37.5,15,125,6.5,4.07,Cincinnati Bengals / 1st / 18th pick / 2007
KaMichael Hall,OLB,Georgia Tech,College Stats,6-0,228,4.77,33,,111,7.5,4.62,
Gabe Hall,OT,Texas Tech,College Stats,6-4,313,4.91,29,22,104,7.59,4.68,
Jonny Harline,TE,BYU,College Stats,6-4,248,4.84,28.5,15,106,7.05,4.68,
Justin Harrell,DT,Tennessee,College Stats,6-4,300,5.04,30.5,24,108,7.63,4.79,Green Bay Packers / 1st / 16th pick / 2007
Ryan Harris,OT,Notre Dame,College Stats,6-4,305,5.09,25.5,22,100,7.78,4.52,Denver Broncos / 3rd / 70th pick / 2007
Nate Harris,OLB,Louisville,College Stats,6-0,230,4.6,32,26,107,7.19,4.52,
Leroy Harris,C,North Carolina State,,6-2,302,5.35,24.5,29,96,8,4.8,Tennessee Titans / 4th / 115th pick / 2007
David Harris,ILB,Michigan,College Stats,6-2,243,4.59,33,23,107,7.25,4.29,New York Jets / 2nd / 47th pick / 2007
Clark Harris,TE,Rutgers,College Stats,6-5,261,4.8,32,21,112,,4.4,Green Bay Packers / 7th / 243rd pick / 2007
Brandon Harrison,S,Stanford,College Stats,6-2,227,4.58,,23,,,,Houston Texans / 5th / 144th pick / 2007
Mario Henderson,OT,Florida State,,6-6,302,5.11,28.5,20,109,7.6,4.87,Oakland Raiders / 3rd / 91st pick / 2007
Chris Henry,RB,Arizona,College Stats,5-11,230,4.4,36,26,127,6.96,4.14,Tennessee Titans / 2nd / 50th pick / 2007
Stephon Heyer,OT,Maryland,,6-6,334,5.59,,30,94,,,
Justin Hickman,OLB,UCLA,College Stats,6-1,254,4.75,29.5,23,115,7.06,4.43,
Jarrett Hicks,WR,Texas Tech,College Stats,6-3,210,4.67,34.5,,120,,,
Johnnie Lee Higgins,WR,Texas-El Paso,,5-11,186,4.48,36.5,,122,6.62,4.32,Oakland Raiders / 3rd / 99th pick / 2007
Jason Hill,WR,Washington State,College Stats,6-0,204,4.32,37,,123,7.02,4.22,San Francisco 49ers / 3rd / 76th pick / 2007
Corey Hilliard,OT,Oklahoma State,College Stats,6-5,308,5.29,27,28,106,7.45,4.65,New England Patriots / 6th / 209th pick / 2007
Jonathan Holland,WR,Louisiana Tech,College Stats,6-0,191,4.45,35.5,15,120,7.12,4.4,Oakland Raiders / 7th / 254th pick / 2007
Chris Houston,CB,Arkansas,College Stats,5-10,185,4.32,36,27,122,6.94,4.12,Atlanta Falcons / 2nd / 41st pick / 2007
Dante Hughes,CB,California,,5-10,190,4.56,28.5,16,114,7.28,4.43,Indianapolis Colts / 3rd / 95th pick / 2007
Tony Hunt,RB,Penn State,College Stats,6-2,233,4.68,,24,,,,Philadelphia Eagles / 3rd / 90th pick / 2007
Nate Ilaoa,RB,Hawaii,College Stats,5-9,245,4.77,30,25,103,7.1,4.42,Philadelphia Eagles / 7th / 236th pick / 2007
Kenny Irons,RB,Auburn,College Stats,5-11,203,4.45,38,,123,7,4.17,Cincinnati Bengals / 2nd / 49th pick / 2007
David Irons,CB,Auburn,College Stats,5-10,190,4.44,29.5,11,111,7.18,4.3,Atlanta Falcons / 6th / 194th pick / 2007
Xzavie Jackson,DE,Missouri,College Stats,6-3,278,4.92,33,18,110,,,
Tanard Jackson,S,Syracuse,College Stats,6-0,200,4.52,32.5,12,121,6.89,4.28,Tampa Bay Buccaneers / 4th / 106th pick / 2007
Keith Jackson,DT,Arkansas,College Stats,6-0,305,5.05,30,33,,7.65,4.56,St. Louis Rams / 7th / 248th pick / 2007
DeAndre Jackson,CB,Iowa State,College Stats,5-11,193,4.48,,14,,,,
Brandon Jackson,RB,Nebraska,College Stats,5-10,210,4.54,37,21,122,7,4.14,Green Bay Packers / 2nd / 63rd pick / 2007
Drisan James,WR,Boise State,College Stats,6-0,193,4.52,39,14,126,7.09,4.39,
Dwayne Jarrett,WR,USC,College Stats,6-4,219,4.62,,,,,,Carolina Panthers / 2nd / 45th pick / 2007
Rory Johnson,OLB,Mississippi,College Stats,6-0,232,4.59,38,19,116,,4.07,
Michael Johnson,S,Arizona,College Stats,6-3,205,4.62,33,15,114,7.04,4.32,New York Giants / 7th / 224th pick / 2007
Charles Johnson,DE,Georgia,College Stats,6-2,270,4.84,34,33,118,7.5,,Carolina Panthers / 3rd / 83rd pick / 2007
Calvin Johnson,WR,Georgia Tech,College Stats,6-5,239,4.35,,,,,,Detroit Lions / 1st / 2nd pick / 2007
Antonio Johnson,DT,Mississippi State,College Stats,6-3,310,5.15,29,28,108,7.47,4.49,Tennessee Titans / 5th / 152nd pick / 2007
Onrea Jones,WR,Kansas State,,5-11,202,4.42,39,,121,7.05,4.28,
Mike Jones,OG,Iowa,College Stats,6-5,309,5.46,25.5,28,98,7.8,4.88,
James Jones,WR,San Jose State,College Stats,6-1,207,4.54,34,22,119,7.06,4.2,Green Bay Packers / 3rd / 78th pick / 2007
Jacoby Jones,WR,Lane (TN),,6-3,210,4.5,34,,129,7.03,4.31,Houston Texans / 3rd / 73rd pick / 2007
Ryan Kalil,C,USC,College Stats,6-3,299,4.96,26,34,104,7.5,4.34,Carolina Panthers / 2nd / 59th pick / 2007
Jordan Kent,WR,Oregon,College Stats,6-4,217,4.49,,,,,,Seattle Seahawks / 6th / 210th pick / 2007
Aaron King,LS,Texas-El Paso,,6-1,239,4.78,,,,,,
Adam Koets,OT,Oregon State,,6-5,298,5.08,32,20,106,7.44,4.47,New York Giants / 6th / 189th pick / 2007
Kevin Kolb,QB,Houston,College Stats,6-3,218,4.85,32.5,,112,6.94,4.44,Philadelphia Eagles / 2nd / 36th pick / 2007
Toby Korrodi,QB,Central Missouri State,,6-3,234,5.37,25,,91,7.77,4.64,
Derek Landri,DT,Notre Dame,College Stats,6-2,288,4.96,,24,,,,Jacksonville Jaguars / 5th / 166th pick / 2007
LaRon Landry,S,LSU,College Stats,6-0,213,4.35,37.5,,123,,,Washington Redskins / 1st / 6th pick / 2007
Zach Latimer,ILB,Oklahoma,College Stats,6-2,237,4.78,34,19,109,7.27,4.45,
Chris Leak,QB,Florida,College Stats,6-0,209,4.74,32.5,,113,7.03,4.41,
Nick Leeson,LS,Virginia Tech,College Stats,6-1,255,5.08,,,,,,
Brian Leonard,RB,Rutgers,College Stats,6-1,226,4.52,34.5,28,122,6.88,4.22,St. Louis Rams / 2nd / 52nd pick / 2007
Reggie Lewis,CB,Florida,College Stats,5-10,204,4.54,34,14,119,7.13,,
Enoka Lucas,C,Oregon,,6-3,303,5.46,27.5,34,104,8.1,4.84,
Marshawn Lynch,RB,California,College Stats,5-11,215,4.46,35.5,20,125,7.05,4.55,Buffalo Bills / 1st / 12th pick / 2007
James Marten,OT,Boston Col.,College Stats,6-7,309,5.08,30.5,,100,7.68,4.54,Dallas Cowboys / 3rd / 67th pick / 2007
Mike Mason,WR,Tennessee State,,6-0,190,4.4,39.5,,129,6.94,4.08,
Ryan McBean,DT,Oklahoma State,College Stats,6-4,286,4.98,28,27,108,7.79,4.46,Pittsburgh Steelers / 4th / 132nd pick / 2007
Turk McBride,DT,Tennessee,College Stats,6-2,277,4.81,31,27,108,7.1,4.12,Kansas City Chiefs / 2nd / 54th pick / 2007
Trumaine McBride,CB,Mississippi,College Stats,5-9,185,4.57,34.5,14,122,6.96,4.32,Chicago Bears / 7th / 221st pick / 2007
Marcus McCauley,CB,Fresno State,College Stats,6-1,203,4.39,36,17,129,6.61,4.17,Minnesota Vikings / 3rd / 72nd pick / 2007
LeRon McClain,FB,Alabama,College Stats,6-0,256,4.75,29.5,14,113,7.14,4.47,Baltimore Ravens / 4th / 137th pick / 2007
Marquay McDaniel,WR,Kansas State,,5-10,205,4.52,33.5,19,114,7.13,4.35,
Ray McDonald,DE,Florida,College Stats,6-3,276,4.88,,,,,,San Francisco 49ers / 3rd / 97th pick / 2007
Brandon McDonald,CB,Memphis,College Stats,5-11,181,4.58,33,17,118,7.44,4.76,Cleveland Browns / 5th / 140th pick / 2007
Ronnie McGill,RB,North Carolina,College Stats,5-11,213,4.59,,22,,,,
Rhema McKnight,WR,Notre Dame,College Stats,6-1,211,4.53,34,,118,6.84,4.16,
Robert Meachem,WR,Tennessee,College Stats,6-2,214,4.39,37.5,,121,6.97,4.31,New Orleans Saints / 1st / 27th pick / 2007
Brandon Mebane,DT,California,College Stats,6-1,309,5.15,24,24,106,7.94,4.65,Seattle Seahawks / 3rd / 85th pick / 2007
Justin Medlock,K,UCLA,College Stats,6-0,201,4.89,,,,,,Kansas City Chiefs / 5th / 160th pick / 2007
Brandon Meriweather,S,Miami (FL),College Stats,5-11,195,4.47,35,11,111,7.06,4.33,New England Patriots / 1st / 24th pick / 2007
Zach Miller,TE,Arizona State,College Stats,6-4,256,4.87,34,,115,7.01,4.42,Oakland Raiders / 2nd / 38th pick / 2007
Martrez Milner,TE,Georgia,College Stats,6-4,252,4.79,34,19,117,7.35,4.49,Atlanta Falcons / 4th / 133rd pick / 2007
Marvin Mitchell,ILB,Tennessee,College Stats,6-3,249,4.87,32,22,108,7.29,4.25,New Orleans Saints / 7th / 220th pick / 2007
Ryan Moore,WR,Miami (FL),College Stats,6-2,217,4.54,32,,110,6.87,4.35,
Jay Moore,DE,Nebraska,College Stats,6-5,274,4.92,34,26,118,7.19,4.35,San Francisco 49ers / 4th / 104th pick / 2007
Drew Mormino,C,Central Michigan,,6-3,299,5.32,28,27,105,7.48,4.53,Miami Dolphins / 6th / 199th pick / 2007
Quentin Moses,DE,Georgia,College Stats,6-5,261,4.82,32,17,115,7.38,4.53,Oakland Raiders / 3rd / 65th pick / 2007
Tyrone Moss,RB,Miami (FL),College Stats,5-9,231,4.75,31,16,107,,4.56,
Jarvis Moss,DE,Florida,College Stats,6-6,250,4.7,30.5,16,120,,,Denver Broncos / 1st / 17th pick / 2007
Dan Mozes,C,West Virginia,College Stats,6-3,293,5.35,25.5,28,101,7.98,4.84,
Legedu Naanee,WR,Boise State,College Stats,6-2,225,4.41,40,19,119,,,San Diego Chargers / 5th / 172nd pick / 2007
Chinedum Ndukwe,S,Notre Dame,College Stats,6-2,206,4.49,37.5,15,,,,Cincinnati Bengals / 7th / 253rd pick / 2007
Reggie Nelson,S,Florida,College Stats,5-11,198,4.48,34.5,,,,,Jacksonville Jaguars / 1st / 21st pick / 2007
J.D. Nelson,S,Oregon,College Stats,5-11,207,4.83,32.5,,111,7.29,4.53,
Syvelle Newton,WR,South Carolina,College Stats,6-1,218,4.64,,20,,,,
Joe Newton,TE,Oregon State,College Stats,6-7,257,4.89,31,20,109,7.35,4.57,
Stephen Nicholas,OLB,South Florida,College Stats,6-1,232,4.64,33.5,29,110,7.29,4.45,Atlanta Falcons / 4th / 109th pick / 2007
Chad Nkang,S,Elon,,5-11,220,4.52,36.5,23,118,7.1,4.34,Jacksonville Jaguars / 7th / 251st pick / 2007
Uche Nwaneri,OG,Purdue,,6-3,325,5.37,,24,,,,Jacksonville Jaguars / 5th / 149th pick / 2007
Amobi Okoye,DT,Louisville,College Stats,6-2,302,5.07,30,29,111,7.46,,Houston Texans / 1st / 10th pick / 2007
Michael Okwo,ILB,Stanford,College Stats,5-11,232,4.7,35.5,20,121,7.12,4.43,Chicago Bears / 3rd / 94th pick / 2007
Sam Olajubutu,OLB,Arkansas,College Stats,5-9,227,4.77,34.5,24,118,7.33,4.34,
Greg Olsen,TE,Miami (FL),College Stats,6-6,254,4.51,35.5,23,114,7.04,4.48,Chicago Bears / 1st / 31st pick / 2007
Mike Otto,OT,Purdue,College Stats,6-5,308,5.2,26.5,20,105,7.62,4.67,
Brandon Pace,K,Virginia Tech,College Stats,5-10,193,4.74,,,,,,
Tyler Palko,QB,Pittsburgh,College Stats,6-1,215,4.83,31.5,,112,7.05,4.36,
Jordan Palmer,QB,Texas-El Paso,College Stats,6-6,231,4.98,30.5,,104,7.32,4.58,Washington Redskins / 6th / 205th pick / 2007
Marcus Paschal,S,Iowa,College Stats,6-0,201,4.59,33,15,,7.31,4.72,
Ben Patrick,TE,Duke,College Stats,6-3,252,4.74,34.5,,111,7.21,4.31,Arizona Cardinals / 7th / 215th pick / 2007
David Patterson,DT,Ohio State,College Stats,6-2,285,5.1,32.5,21,118,7.47,4.43,
Kevin Payne,S,La-Monroe,College Stats,6-0,220,4.6,35,20,106,7,4.3,Chicago Bears / 5th / 167th pick / 2007
Leonard Peters,S,Hawaii,College Stats,6-1,210,4.8,32.5,21,110,7.49,,
Adrian Peterson,RB,Oklahoma,College Stats,6-1,217,4.4,38.5,,127,7.09,4.4,Minnesota Vikings / 1st / 7th pick / 2007
Blair Phillips,ILB,Oregon,College Stats,6-1,243,4.84,30.5,23,106,7.01,4.48,
James Pinkney,QB,East Carolina,College Stats,6-2,208,4.79,34,,112,7.35,4.49,
Sabby Piscitelli,S,Oregon State,College Stats,6-3,224,4.47,34.5,19,122,6.84,3.9,Tampa Bay Buccaneers / 2nd / 64th pick / 2007
Quinn Pitcock,DT,Ohio State,College Stats,6-2,299,4.93,34,,112,,,Indianapolis Colts / 3rd / 98th pick / 2007
Chase Pittman,DE,LSU,College Stats,6-5,270,5.03,,,,,,Cleveland Browns / 7th / 213th pick / 2007
Antonio Pittman,RB,Ohio State,College Stats,5-11,207,4.4,35.5,16,123,6.84,4.16,New Orleans Saints / 4th / 107th pick / 2007
Adam Podlesh,P,Maryland,College Stats,5-11,202,4.54,,,,,,Jacksonville Jaguars / 4th / 101st pick / 2007
Paul Posluszny,OLB,Penn State,College Stats,6-2,238,4.7,37,22,116,6.94,4.2,Buffalo Bills / 2nd / 34th pick / 2007
Anthony Pudewell,TE,Nevada,College Stats,6-4,250,5.07,25.5,15,101,7.31,4.41,
Brady Quinn,QB,Notre Dame,College Stats,6-4,232,4.73,,24,,,,Cleveland Browns / 1st / 22nd pick / 2007
Jerard Rabb,WR,Boise State,College Stats,6-2,201,4.58,36.5,,125,6.99,4.19,
Manny Ramirez,OG,Texas Tech,College Stats,6-3,326,5.24,,40,,,,Detroit Lions / 4th / 117th pick / 2007
Jared Retkofsky,LS,TCU,College Stats,6-5,265,4.91,,,,,,
Darrelle Revis,CB,Pittsburgh,College Stats,5-11,204,4.38,,16,,,,New York Jets / 1st / 14th pick / 2007
Alex Reyes,P,Texas Tech,College Stats,6-1,234,,,,,,,
Sidney Rice,WR,South Carolina,College Stats,6-3,200,4.51,39.5,,119,7.09,4.34,Minnesota Vikings / 2nd / 44th pick / 2007
Jay Richardson,DE,Ohio State,College Stats,6-6,279,5,33,20,112,7.5,4.54,Oakland Raiders / 5th / 138th pick / 2007
Ryne Robinson,WR,Miami (OH),College Stats,5-9,179,4.47,35,,123,6.71,4.21,Carolina Panthers / 4th / 118th pick / 2007
