Player,Name,Team,Position,College
1,Eric Fisher,Chiefs,T,Central Michigan
2,Luke Joeckel,Jaguars,T,Texas A&M
3,Dion Jordan,Dolphins,DE,Oregon
4,Lane Johnson,Eagles,T,Oklahoma
5,Ezekiel Ansah,Lions,DE,Brigham Young
6,Barkevious Mingo,Browns,DE,Louisiana State
7,Jonathan Cooper,Cardinals,G,North Carolina
8,Tavon Austin,Rams,WR,West Virginia
9,Dee Milliner,Jets,DB,Alabama
10,Chance Warmack,Titans,G,Alabama
11,D.J. Fluker,Chargers,T,Alabama
12,D.J. Hayden,Raiders,DB,Houston
13,Sheldon Richardson,Jets,DT,Missouri
14,Star Lotulelei,Panthers,DT,Utah
15,Kenny Vaccaro,Saints,DB,Texas
16,EJ Manuel,Bills,QB,Florida State
17,Jarvis Jones,Steelers,LB,Georgia
18,Eric Reid,49ers,DB,Louisiana State
19,Justin Pugh,Giants,T,Syracuse
20,Kyle Long,Bears,G,Oregon
21,Tyler Eifert,Bengals,TE,Notre Dame
22,Desmond Trufant,Falcons,DB,Washington
23,Sharrif Floyd,Vikings,DT,Florida
24,Bjoern Werner,Colts,DE,Florida State
25,Xavier Rhodes,Vikings,DB,Florida State
26,Datone Jones,Packers,DE,UCLA
27,DeAndre Hopkins,Texans,WR,Clemson
28,Sylvester Williams,Broncos,DT,North Carolina
29,Cordarrelle Patterson,Vikings,WR,Tennessee
30,Alec Ogletree,Rams,LB,Georgia
31,Travis Frederick,Cowboys,C,Wisconsin
32,Matt Elam,Ravens,DB,Florida
33,John Cyprien,Jaguars,DB,Florida International
34,Justin Hunter,Titans,WR,Tennessee
35,Zach Ertz,Eagles,TE,Stanford
36,Darius Slay,Lions,DB,Mississippi State
37,Giovani Bernard,Bengals,RB,North Carolina
38,Manti Te'o,Chargers,LB,Notre Dame
39,Geno Smith,Jets,QB,West Virginia
40,Cornellius Carradine,49ers,DE,Florida State
41,Robert Woods,Bills,WR,USC
42,Menelik Watson,Raiders,T,Florida State
43,Johnthan Banks,Buccaneers,DB,Mississippi State
44,Kawann Short,Panthers,DT,Purdue
45,Kevin Minter,Cardinals,LB,Louisiana State
46,Kiko Alonso,Bills,LB,Oregon
47,Gavin Escobar,Cowboys,TE,San Diego State
48,Le'Veon Bell,Steelers,RB,Michigan State
49,Johnathan Hankins,Giants,DT,Ohio State
50,Jon Bostic,Bears,LB,Florida
51,David Amerson,Redskins,DB,North Carolina State
52,Jamie Collins,Patriots,LB,Southern Mississippi
53,Margus Hunt,Bengals,DE,Southern Methodist
54,Jamar Taylor,Dolphins,DB,Boise State
55,Vance McDonald,49ers,TE,Rice
56,Arthur Brown,Ravens,LB,Kansas State
57,D.J. Swearinger,Texans,DB,South Carolina
58,Montee Ball,Broncos,RB,Wisconsin
59,Aaron Dobson,Patriots,WR,Marshall
60,Robert Alford,Falcons,DB,Southeastern Louisiana
61,Eddie Lacy,Packers,RB,Alabama
62,Christine Michael,Seahawks,RB,Texas A&M
63,Travis Kelce,Chiefs,TE,Cincinnati
64,Dwayne Gratz,Jaguars,DB,Connecticut
65,Larry Warford,Lions,G,Kentucky
66,Sio Moore,Raiders,LB,Connecticut
67,Bennie Logan,Eagles,DT,Louisiana State
68,Leon McFadden,Browns,DB,San Diego State
69,Tyrann Mathieu,Cardinals,DB,Louisiana State
70,Blidi Wreh-Wilson,Titans,DB,Connecticut
71,T.J. McDonald,Rams,DB,USC
72,Brian Winters,Jets,G,Kent State
73,Mike Glennon,Buccaneers,QB,North Carolina State
74,Terrance Williams,Cowboys,WR,Baylor
75,Terron Armstead,Saints,T,Arkansas-Pine Bluff
76,Keenan Allen,Chargers,WR,California
77,Dallas Thomas,Dolphins,T,Tennessee
78,Marquise Goodwin,Bills,WR,Texas
79,Markus Wheaton,Steelers,WR,Oregon State
80,J.J. Wilcox,Cowboys,DB,Georgia Southern
81,Damontre Moore,Giants,DE,Texas A&M
82,John Jenkins,Saints,DT,Georgia
83,Logan Ryan,Patriots,DB,Rutgers
84,Shawn Williams,Bengals,DB,Georgia
85,Jordan Reed,Redskins,TE,Florida
86,Hugh Thornton,Colts,G,Illinois
87,Jordan Hill,Seahawks,DT,Penn State
88,Corey Lemonier,49ers,DE,Auburn
89,Brennan Williams,Texans,T,North Carolina
90,Kayvon Webster,Broncos,DB,South Florida
91,Duron Harmon,Patriots,DB,Rutgers
92,Stedman Bailey,Rams,WR,West Virginia
93,Will Davis,Dolphins,DB,Utah State
94,Brandon Williams,Ravens,DT,Missouri Southern State
95,Sam Montgomery,Texans,DE,Louisiana State
96,Knile Davis,Chiefs,RB,Arkansas
97,Zaviar Gooden,Titans,LB,Missouri
98,Matt Barkley,Eagles,QB,USC
99,Nico Johnson,Chiefs,LB,Alabama
100,Akeem Spence,Buccaneers,DT,Illinois
101,Ace Sanders,Jaguars,WR,South Carolina
102,Josh Boyce,Patriots,WR,Texas Christian
103,Alex Okafor,Cardinals,DE,Texas
104,Jelani Jenkins,Dolphins,LB,Florida
105,Duke Williams,Bills,DB,Nevada
106,Dion Sims,Dolphins,TE,Michigan State
107,Brian Schwenke,Titans,C,California
108,Edmund Kugbila,Panthers,G,Valdosta State
109,David Bakhtiari,Packers,T,Colorado
110,Ryan Nassib,Giants,QB,Syracuse
111,Shamarko Thomas,Steelers,DB,Syracuse
112,Tyler Wilson,Raiders,QB,Arkansas
113,Barrett Jones,Rams,G,Alabama
114,B.W. Webb,Cowboys,DB,William & Mary
115,Landry Jones,Steelers,QB,Oklahoma
116,Earl Watford,Cardinals,G,James Madison
117,Khaseem Greene,Bears,LB,Rutgers
118,Sean Porter,Bengals,LB,Texas A&M
119,Phillip Thomas,Redskins,DB,Fresno State
120,Gerald Hodges,Vikings,LB,Penn State
121,Khaled Holmes,Colts,C,USC
122,J.C. Tretter,Packers,T,Cornell
123,Chris Harper,Seahawks,WR,Kansas State
124,Trevardo Williams,Texans,DE,Connecticut
125,Johnathan Franklin,Packers,RB,UCLA
126,William Gholston,Buccaneers,DE,Michigan State
127,Malliciah Goodman,Falcons,DE,Clemson
128,Quinton Patton,49ers,WR,Louisiana Tech
129,John Simon,Ravens,DE,Ohio State
130,Kyle Juszczyk,Ravens,RB,Harvard
131,Marcus Lattimore,49ers,RB,South Carolina
132,Devin Taylor,Lions,DE,South Carolina
133,Levine Toilolo,Falcons,TE,Stanford
134,Sanders Commings,Chiefs,DB,Georgia
135,Denard Robinson,Jaguars,WR,Michigan
136,Earl Wolff,Eagles,DB,North Carolina State
137,Jesse Williams,Seahawks,DT,Alabama
138,Tharold Simon,Seahawks,DB,Louisiana State
139,Montori Hughes,Colts,DT,Tennessee-Martin
140,Stepfan Taylor,Cardinals,RB,Stanford
141,Oday Aboushi,Jets,T,Virginia
142,Lavar Edwards,Titans,DE,Louisiana State
143,Jonathan Meeks,Bills,DB,Clemson
144,Kenny Stills,Saints,WR,Oklahoma
145,Steve Williams,Chargers,DB,California
146,Quanterus Smith,Broncos,DE,Western Kentucky
147,Steven Means,Buccaneers,DE,Buffalo
148,A.J. Klein,Panthers,LB,Iowa State
149,Brandon McGee,Rams,DB,Miami (FL)
150,Terry Hawthorne,Steelers,DB,Illinois
151,Joseph Randle,Cowboys,RB,Oklahoma State
152,Cooper Taylor,Giants,DB,Richmond
153,Stansly Maponga,Falcons,DE,Texas Christian
154,Chris Thompson,Redskins,RB,Florida State
155,Jeff Locke,Vikings,P,UCLA
156,Tanner Hawkinson,Bengals,T,Kansas
157,Quinton Dial,49ers,DE,Alabama
158,Luke Willson,Seahawks,TE,Rice
159,Micah Hyde,Packers,DB,Iowa
160,Zac Stacy,Rams,RB,Vanderbilt
161,Tavarres King,Broncos,WR,Georgia
162,Brandon Jenkins,Redskins,DE,Florida State
163,Jordan Mills,Bears,T,Louisiana Tech
164,Mike Gillislee,Dolphins,RB,Florida
165,Sam Martin,Lions,P,Appalachian State
166,Caleb Sturgis,Dolphins,K,Florida
167,Josh Boyd,Packers,DE,Mississippi State
168,Ricky Wagner,Ravens,T,Wisconsin
169,Josh Evans,Jaguars,DB,Florida
170,Eric Kush,Chiefs,C,California (PA)
171,Corey Fuller,Lions,WR,Virginia Tech
172,Nick Kasa,Raiders,TE,Colorado
173,Vinston Painter,Broncos,T,Virginia Tech
174,Ryan Swope,Cardinals,WR,Texas A&M
175,Jamoris Slaughter,Browns,DB,Notre Dame
176,David Quessenberry,Texans,T,San Jose State
177,Dustin Hopkins,Bills,K,Florida State
178,William Campbell,Jets,G,Michigan
179,Tourek Williams,Chargers,DE,Florida International
180,Nick Moody,49ers,LB,Florida State
181,Latavius Murray,Raiders,RB,UCF
182,Kenjon Barner,Panthers,RB,Oregon
183,Rufus Johnson,Saints,DE,Tarleton State
184,Mychal Rivera,Raiders,TE,Tennessee
185,DeVonte Holloman,Cowboys,LB,South Carolina
186,Justin Brown,Steelers,WR,Oklahoma
187,Andre Ellington,Cardinals,RB,Clemson
188,Cornelius Washington,Bears,LB,Georgia
189,Mike James,Buccaneers,RB,Miami
190,Rex Burkhead,Bengals,RB,Nebraska
191,Bacarri Rambo,Redskins,DB,Georgia
192,John Boyett,Colts,DB,Oregon
193,Nate Palmer,Packers,LB,Illinois State
194,Spencer Ware,Seahawks,RB,LSU
195,Alan Bonner,Texans,WR,Jacksonville State
196,Jeff Baca,Vikings,G,UCLA
197,Cobi Hamilton,Bengals,WR,Arkansas
198,Chris Jones,Texans,DT,Bowling Green
199,Theo Riddick,Lions,RB,Notre Dame
200,Kapron Lewis-Moore,Ravens,DE,Notre Dame
201,Ryan Griffin,Texans,TE,Connecticut
202,Khalid Wooten,Titans,DB,Nevada
203,Ryan Jensen,Ravens,T,Colorado State-Pueblo
204,Braden Wilson,Chiefs,RB,Kansas State
205,Stacy McGee,Raiders,DT,Oklahoma
206,Vince Williams,Steelers,LB,Florida State
207,Mike Catapano,Chiefs,DE,Princeton
208,Jeremy Harris,Jaguars,DB,New Mexico State
209,Brice Butler,Raiders,WR,San Diego State
210,Demetrius McCray,Jaguars,DB,Appalachian State
211,Michael Williams,Lions,TE,Alabama
212,Joe Kruger,Eagles,DE,Utah
213,Michael Mauti,Vikings,LB,Penn State
214,Travis Bond,Vikings,G,North Carolina
215,Tommy Bohanon,Jets,RB,Wake Forest
216,Charles Johnson,Packers,WR,Grand Valley State
217,Armonty Bryant,Browns,DE,East Central (OK)
218,Jordan Poyer,Eagles,DB,Oregon State
219,D.C. Jefferson,Cardinals,TE,Rutgers
220,Ryan Seymour,Seahawks,G,Vanderbilt
221,Brad Sorensen,Chargers,QB,Southern Utah
222,Chris Gragg,Bills,TE,Arkansas
223,Nick Williams,Steelers,DT,Samford
224,Kevin Dorsey,Packers,WR,Maryland
225,Eric Herman,Giants,G,Ohio
226,Michael Buchanan,Patriots,DE,Illinois
227,Garrett Gilkey,Browns,T,Chadron State
228,Jawan Jamison,Redskins,RB,Rutgers
229,Everett Dawkins,Vikings,DT,Florida State
230,Kerwynn Williams,Colts,RB,Utah State
231,Ty Powell,Seahawks,DE,Harding
232,Sam Barrington,Packers,LB,South Florida
233,David Bass,Raiders,DE,Missouri Western
234,Zac Dysert,Broncos,QB,Miami (OH)
235,Steve Beauharnais,Patriots,LB,Rutgers
236,Marquess Wilson,Bears,WR,Washington State
237,B.J. Daniels,49ers,QB,South Florida
238,Aaron Mellette,Ravens,WR,Elon
239,David King,Eagles,DE,Oklahoma
240,Reid Fragel,Bengals,T,Ohio State
241,Jared Smith,Seahawks,DT,New Hampshire
242,Michael Bowie,Seahawks,T,NE Oklahoma State
243,Kemal Ishmael,Falcons,DB,Central Florida
244,Zeke Motta,Falcons,DB,Notre Dame
245,Brandon Hepburn,Lions,LB,Florida A&M
246,Carter Bykowski,49ers,T,Iowa State
247,Marc Anthony,Ravens,DB,California
248,Daimion Stafford,Titans,DB,Nebraska
249,Sean Renfree,Falcons,QB,Duke
250,Don Jones,Dolphins,DB,Arkansas State
251,T.J. Johnson,Bengals,C,South Carolina
252,Marcus Cooper,49ers,DB,Rutgers
253,Michael Cox,Giants,RB,Massachusetts
254,Justice Cunningham,Colts,TE,South Carolina
