Name,College,PPRPPG,logPPRPPG,Position,DraftSpot,top20,Age,Birthdate,HT,WT,40,VERT,Bench,Broad,3Cone,Shuttle,SpeedScore,BMI,Season1,Season2,Season3,Season4,Season5,YPC1,YPC2,YPC3,YPC4,YPC5,BestYPC,CAR1,CAR2,CAR3,CAR4,CAR5,BestCAR,RCMS1,RCMS2,RCMS3,RCMS4,RCMS5,BestRCMS,RTDMS1,RTDMS2,RTDMS3,RTDMS4,RTDMS5,BestRTDMS,RY1,RY2,RY3,RY4,RY5,RYMS1,RYMS2,RYMS3,RYMS4,RYMS5,BestRYMS,Breakout Age,YPrec1,YPrec2,YPrec3,YPrec4,YPrec5,BestYPrec,RecYDMS1,RecYDMS2,RecYDMS3,RecYDMS4,RecYDMS5,BestRecYDMS,RecTDMS1,RecTDMS2,RecTDMS3,RecTDMS4,RecTDMS5,BestRecTDMS,DOM1,DOM2,DOM3,DOM4,DOM5,BestDOM,BKRY,BKRN,BPRY,BPRN,BKMS,"BPMS
",,,,,,,,
Devonta Freeman,Florida State,14.63404255,1.165364313,RB,103,1,22.46575342,1992.2,68,206,4.58,31.5,NA,118,7.11,4.26,93.63437242,31.31877163,0,2006,2006,2006,2006,4,5,5,0,0,5,120,111,173,0,0,173,0.277136259,0.220238095,0.346,0,0,0.346,0.4,0.2,0.333333333,0,0,0.4,579,660,1016,0,0,0.384462151,0.227038184,0.350707629,0,0,0.384462151,19.46575342,7,8,12,0,0,12,0.034365325,0.023737234,0.067068758,0,0,0.067068758,0,0,0.024390244,0,0,0.024390244,0.229083665,0.128310974,0.223334484,0,0,0.229083665,0,0,0,0,0,,,,,,,,,
Chris Carson,Oklahoma State,14.35454545,1.156989445,RB,249,1,22.95616442,1994.709589,73,218,4.58,37,23,130,7.53,4.28,99.08880189,28.75849127,0,2006,2006,2006,2006,3,6,0,0,0,6,131,82,0,0,0,131,0.291111111,0.166666667,0,0,0,0.291111111,0.16,0.28125,0,0,0,0.28125,517,559,0,0,0,0.302870533,0.247126437,0,0,0,0.302870533,20.95616442,10,9,0,0,0,10,0.038452839,0.03125,0,0,0,0.038452839,0,0.035714286,0,0,0,0.035714286,0.201230228,0.151856764,0,0,0,0.201230228,0,0,0,0,0,,,,,,,,,
Eddie Lacy,Alabama,14.25434783,1.153947352,RB,61,1,23.24931542,1990.416438,71,231,4.55,33.5,NA,NA,7.33,NA,107.794447,32.21444158,0,2006,2006,2006,2006,7,7,6,0,0,7,56,95,204,0,0,204,0.121212121,0.190763052,0.194285714,0,0,0.194285714,0.2,0.205882353,0.361702128,0,0,0.361702128,406,674,1322,0,0,0.168534662,0.236823612,0.274615704,0,0,0.274615704,0,9,11,8,0,0,11,0.005330175,0.049137284,0.03379224,0,0,0.049137284,0,0,0.044444444,0,0,0.044444444,0.088003321,0.141426564,0.156938097,0,0,0.156938097,0,0,0,0,0,,,,,,,,,
Aaron Jones,UTEP,14.155,1.150909874,RB,182,1,22.4,1994.9,69.13,208,4.56,37.5,16,127,6.82,NA,96.21304507,31.34,2007,2007,2008,2008,2009,5,5,6,7,0,7,155,242,32,229,0,242,0.29135338,0.42907801,0.07322654,0.5599022,0,0.5599022,0.23529412,0.40740741,0.125,0.85,0,0.85,811,1321,209,1773,0,0.36449438,0.47949183,0.11585366,0.7762697,0,0.7762697,0,3,9,11,8,0,11,0.00719794,0.18722045,0.04730031,0.1182141,0,0.18722045,0,0.33333333,0.05882353,0.16666667,0,0.33333333,0.00314607,0.05317604,0.02937916,0.05100701,0,0.05317604,0,0,0,0,0,,,,,,,,,
Nick Chubb,Georgia,14.053125,1.147772909,RB,35,1,22.67945242,1995.986301,71,227,4.52,38.5,29,128,7.09,4.25,108.7682431,31.65661575,0,2006,2006,2006,2006,7,8,5,6,0,8,219,92,224,223,0,224,0.092483108,0.046,0.111720698,0.093501048,0,0.111720698,0.091503268,0.064814815,0.102564103,0.145631068,0,0.145631068,1547,747,1130,1345,0,0.110642254,0.067983254,0.118709949,0.117119471,0,0.118709949,0,11,8,17,7,0,17,0.023900359,0.003550033,0.00965316,0.003695492,0,0.023900359,0.028169014,0.016949153,0.018518519,0,0,0.028169014,0.062938063,0.035447761,0.063872255,0.0598659,0,0.063872255,0,0,0,0,0,,,,,,,,,
Doug Martin,Boise State,13.95757576,1.144809994,RB,31,1,23.63287642,1989.032877,69,223,4.46,36,28,120,6.79,4.16,112.7185579,32.92774627,0,2006,2006,2006,2006,4,5,6,4,0,6,24,129,201,263,0,263,0.055045872,0.262729124,0.424050633,0.542268041,0,0.542268041,0,0.5,0.352941176,0.516129032,0,0.516129032,107,765,1260,1299,0,0.052220595,0.286302395,0.473684211,0.560155239,0,0.560155239,21.63287642,18,8,12,9,0,18,0.014606438,0.018717314,0.088112617,0.067693125,0,0.088112617,0,0,0.055555556,0.046511628,0,0.055555556,0.039287457,0.155875749,0.30037594,0.335058215,0,0.335058215,338,10,0,0.476190476,0,,,,,,,,,
Joe Mixon,Oklahoma,13.86590909,1.141948348,RB,48,1,21.10684942,1996.558904,73,226,4.45,35,NA,118,7.1,4.27,115.2652485,30.75,0,2006,2006,2006,2006,6,6,0,0,0,6,113,187,0,0,0,187,0.111549852,0.175586854,0,0,0,0.175586854,0.122807018,0.161290323,0,0,0,0.161290323,753,1274,0,0,0,0.162564767,0.237686567,0,0,0,0.237686567,0,12,14,0,0,0,14,0.043198641,0.068718866,0,0,0,0.068718866,0.057971014,0.074626866,0,0,0,0.074626866,0.119710708,0.169029851,0,0,0,0.169029851,494,21,25,0.5,0.181818182,,,,,,,,,
Giovani Bernard,North Carolina,13.15555556,1.119109193,RB,37,1,21.77534242,1991.890411,68,202,4.53,33.5,19,122,6.91,4.12,95.93753532,30.71064014,0,2006,2006,2006,2006,5,6,0,0,0,6,239,184,0,0,0,239,0.544419134,0.407982262,0,0,0,0.544419134,0.590909091,0.428571429,0,0,0,0.590909091,1253,1228,0,0,0,0.660864979,0.518362178,0,0,0,0.660864979,19.77534242,8,10,0,0,0,10,0.122628726,0.162682603,0,0,0,0.162682603,0.04,0.208333333,0,0,0,0.208333333,0.425896624,0.362600253,0,0,0,0.425896624,0,0,263,0,0.842105263,,,,,,,,,
Jordan Howard,Indiana,12.97446809,1.113089562,RB,150,1,21.83013742,1994.835616,73,230,4.57,34,16,122,7.14,4.34,105.4612784,30.34152749,0,2006,2006,2006,2006,6,0,0,0,0,6,196,0,0,0,0,196,0.339688042,0,0,0,0,0.339688042,0.333333333,0,0,0,0,0.333333333,1213,0,0,0,0,0.431058991,0,0,0,0,0.431058991,20.83013742,9,0,0,0,0,9,0.028540657,0,0,0,0,0.028540657,0.038461538,0,0,0,0,0.038461538,0.234363895,0,0,0,0,0.234363895,0,0,0,0,0,,,,,,,,,
Alfred Morris,Florida Atlantic,12.87916667,1.109887763,RB,173,1,23.72054842,1988.945205,70,219,4.63,35.5,16,117,7.01,4.19,95.31256264,31.41979592,0,2006,2006,2006,2006,3,5,4,5,0,5,7,263,227,214,0,263,0.017326733,0.620283019,0.585051546,0.606232295,0,0.620283019,0,0.647058824,0.875,0.9,0,0.9,23,1392,928,1114,0,0.011782787,0.737678855,0.664280601,0.817914831,0,0.817914831,20.72054842,16,5,9,0,0,16,0.035163479,0.019160212,0.088372093,0,0,0.088372093,0.083333333,0.0625,0.142857143,0,0,0.142857143,0.399046105,0.348962062,0.457782673,0,0,0.457782673,9,1,0,0.018181818,0,,,,,,,,,
