Player,Name,Team,Position,College
1,Jameis Winston,Buccaneers,QB,Florida State
2,Marcus Mariota,Titans,QB,Oregon
3,Dante Fowler,Jaguars,LB,Florida
4,Amari Cooper,Raiders,WR,Alabama
5,Brandon Scherff,Redskins,G,Iowa
6,Leonard Williams,Jets,DE,USC
7,Kevin White,Bears,WR,West Virginia
8,Vic Beasley,Falcons,LB,Clemson
9,Ereck Flowers,Giants,G,Miami (FL)
10,Todd Gurley,Rams,RB,Georgia
11,Trae Waynes,Vikings,DB,Michigan State
12,Danny Shelton,Browns,DT,Washington
13,Andrus Peat,Saints,T,Stanford
14,DeVante Parker,Dolphins,WR,Louisville
15,Melvin Gordon,Chargers,RB,Wisconsin
16,Kevin Johnson,Texans,DB,Wake Forest
17,Arik Armstead,49ers,DT,Oregon
18,Marcus Peters,Chiefs,DB,Washington
19,Cameron Erving,Browns,C,Florida State
20,Nelson Agholor,Eagles,WR,USC
21,Cedric Ogbuehi,Bengals,T,Texas A&M
22,Bud Dupree,Steelers,LB,Kentucky
23,Shane Ray,Broncos,DE,Missouri
24,D.J. Humphries,Cardinals,T,Florida
25,Shaq Thompson,Panthers,LB,Washington
26,Breshad Perriman,Ravens,WR,Central Florida
27,Byron Jones,Cowboys,DB,Connecticut
28,Laken Tomlinson,Lions,G,Duke
29,Phillip Dorsett,Colts,WR,Miami (FL)
30,Damarious Randall,Packers,DB,Arizona State
31,Stephone Anthony,Saints,LB,Clemson
32,Malcom Brown,Patriots,DT,Texas
33,Landon Collins,Giants,DB,Alabama
34,Donovan Smith,Buccaneers,T,Penn State
35,Mario Edwards,Raiders,DT,Florida State
36,T.J. Yeldon,Jaguars,RB,Alabama
37,Devin Smith,Jets,WR,Ohio State
38,Preston Smith,Redskins,DE,Mississippi State
39,Eddie Goldman,Bears,DT,Florida State
40,Dorial Green-Beckham,Titans,WR,Missouri
41,Devin Funchess,Panthers,WR,Michigan
42,Jalen Collins,Falcons,DB,Louisiana State
43,Benardrick McKinney,Texans,LB,Mississippi State
44,Hau'oli Kikaha,Saints,LB,Washington
45,Eric Kendricks,Vikings,LB,UCLA
46,Jaquiski Tartt,49ers,DB,Samford
47,Eric Rowe,Eagles,DB,Utah
48,Denzel Perryman,Chargers,LB,Miami (FL)
49,Mitch Morse,Chiefs,G,Missouri
50,Ronald Darby,Bills,DB,Florida State
51,Nate Orchard,Browns,DE,Utah
52,Jordan Phillips,Dolphins,DT,Oklahoma
