Player,Name,Team,Position,College
1,Cam Newton,Panthers,QB,Auburn
2,Von Miller,Broncos,LB,Texas A&M
3,Marcell Dareus,Bills,DT,Alabama
4,A.J. Green,Bengals,WR,Georgia
5,Patrick Peterson,Cardinals,DB,Louisiana State
6,Julio Jones,Falcons,WR,Alabama
7,Aldon Smith,49ers,DE,Missouri
8,Jake Locker,Titans,QB,Washington
9,Tyron Smith,Cowboys,T,USC
10,Blaine Gabbert,Jaguars,QB,Missouri
11,J.J. Watt,Texans,DE,Wisconsin
12,Christian Ponder,Vikings,QB,Florida State
13,Nick Fairley,Lions,DT,Auburn
14,Robert Quinn,Rams,DE,North Carolina
15,Mike Pouncey,Dolphins,G,Florida
16,Ryan Kerrigan,Redskins,LB,Purdue
17,Nate Solder,Patriots,T,Colorado
18,Corey Liuget,Chargers,DT,Illinois
19,Prince Amukamara,Giants,DB,Nebraska
20,Adrian Clayborn,Buccaneers,DE,Iowa
21,Phil Taylor,Browns,DT,Baylor
22,Anthony Castonzo,Colts,T,Boston College
23,Danny Watkins,Eagles,G,Baylor
24,Cameron Jordan,Saints,DE,California
25,James Carpenter,Seahawks,T,Alabama
26,Jonathan Baldwin,Chiefs,WR,Pittsburgh
27,Jimmy Smith,Ravens,DB,Colorado
28,Mark Ingram,Saints,RB,Alabama
29,Gabe Carimi,Bears,T,Wisconsin
30,Muhammad Wilkerson,Jets,DT,Temple
31,Cameron Heyward,Steelers,DE,Ohio State
32,Derek Sherrod,Packers,T,Mississippi State
33,Ras-I Dowling,Patriots,DB,Virginia
34,Aaron Williams,Bills,DB,Texas
35,Andy Dalton,Bengals,QB,Texas Christian
36,Colin Kaepernick,49ers,QB,Nevada
37,Jabaal Sheard,Browns,DE,Pittsburgh
38,Ryan Williams,Cardinals,RB,Virginia Tech
39,Akeem Ayers,Titans,LB,UCLA
40,Bruce Carter,Cowboys,LB,North Carolina
41,Jarvis Jenkins,Redskins,DT,Clemson
42,Brooks Reed,Texans,DE,Arizona
43,Kyle Rudolph,Vikings,TE,Notre Dame
44,Titus Young,Lions,WR,Boise State
45,Rahim Moore,Broncos,DB,UCLA
46,Orlando Franklin,Broncos,T,Miami (FL)
47,Lance Kendricks,Rams,TE,Wisconsin
48,Stefen Wisniewski,Raiders,C,Penn State
49,Benjamin Ijalana,Colts,T,Villanova
50,Marcus Gilchrist,Chargers,DB,Clemson
51,Da'Quan Bowers,Buccaneers,DE,Clemson
52,Marvin Austin,Giants,DT,North Carolina
53,Stephen Paea,Bears,DT,Oregon State
54,Jaiquawn Jarrett,Eagles,DB,Temple
55,Rodney Hudson,Chiefs,C,Florida State
56,Shane Vereen,Patriots,RB,California
57,Mikel Leshoure,Lions,RB,Illinois
58,Torrey Smith,Ravens,WR,Maryland
59,Greg Little,Browns,WR,North Carolina
60,Brandon Harris,Texans,DB,Miami (FL)
61,Jonas Mouton,Chargers,LB,Michigan
62,Daniel Thomas,Dolphins,RB,Kansas State
63,Marcus Gilbert,Steelers,T,Florida
64,Randall Cobb,Packers,WR,Kentucky
65,Terrell McClain,Panthers,DT,South Florida
66,Dontay Moch,Bengals,LB,Nevada
67,Nate Irving,Broncos,LB,North Carolina State
68,Kelvin Sheppard,Bills,LB,Louisiana State
69,Robert Housler,Cardinals,TE,Florida Atlantic
70,Justin Houston,Chiefs,DE,Georgia
71,DeMarco Murray,Cowboys,RB,Oklahoma
72,Martez Wilson,Saints,LB,Illinois
73,Stevan Ridley,Patriots,RB,LSU
74,Ryan Mallett,Patriots,QB,Arkansas
75,John Moffitt,Seahawks,G,Wisconsin
76,William Rackley,Jaguars,G,Lehigh
77,Jurrell Casey,Titans,DT,USC
78,Austin Pettis,Rams,WR,Boise State
79,Leonard Hankerson,Redskins,WR,Miami (FL)
80,Chris Culliver,49ers,DB,South Carolina
81,Demarcus Van Dyke,Raiders,DB,Miami (FL)
82,Vincent Brown,Chargers,WR,San Diego State
83,Jerrel Jernigan,Giants,WR,Troy
84,Mason Foster,Buccaneers,LB,Washington
85,Jah Reid,Ravens,T,Central Florida
86,Allen Bailey,Chiefs,DE,Miami (FL)
87,Drake Nevis,Colts,DT,Louisiana State
88,Johnny Patrick,Saints,DB,Louisville
89,Shareece Wright,Chargers,DB,USC
90,Curtis Marsh,Eagles,DB,Utah State
91,Akeem Dent,Falcons,LB,Georgia
92,Joseph Barksdale,Raiders,T,Louisiana State
93,Chris Conte,Bears,DB,California
