Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Titus Adams,DT,Nebraska,College Stats,6-3,306,5.07,30.5,15,103,7.49,4.54,New York Jets / 7th / 220th pick / 2006
Darrell Adams,DE,Villanova,,6-5,277,5,27,22,109,7.91,4.76,
Jahmile Addae,S,West Virginia,College Stats,5-10,214,4.7,38.5,,122,,,
Joseph Addai,RB,LSU,College Stats,5-11,214,4.4,38.5,18,125,7.09,4.47,Indianapolis Colts / 1st / 30th pick / 2006
Victor Adeyanju,DE,Indiana,College Stats,6-4,274,4.86,32,22,112,7.37,4.41,St. Louis Rams / 4th / 113th pick / 2006
Jason Allen,S,Tennessee,College Stats,6-1,209,4.39,39.5,17,131,6.75,3.81,Miami Dolphins / 1st / 16th pick / 2006
Jon Alston,OLB,Stanford,College Stats,6-1,223,4.5,40,30,132,6.9,4.13,St. Louis Rams / 3rd / 77th pick / 2006
Sir Henry Anderson,DT,Oregon State,College Stats,6-4,306,5.19,28.5,27,100,7.69,4.55,
Mark Anderson,DE,Alabama,College Stats,6-4,254,4.62,42,20,127,6.95,4.22,Chicago Bears / 5th / 159th pick / 2006
James Anderson,OLB,Virginia Tech,College Stats,6-3,229,4.59,41,,121,6.67,4.07,Carolina Panthers / 3rd / 88th pick / 2006
David Anderson,WR,Colorado State,College Stats,5-10,192,4.57,34,,116,6.88,4.2,Houston Texans / 7th / 251st pick / 2006
Willie Andrews,S,Baylor,College Stats,5-9,193,4.43,36.5,7,124,6.99,4.27,New England Patriots / 7th / 229th pick / 2006
Devin Aromashodu,WR,Auburn,College Stats,6-2,201,4.35,39,,120,7.04,4.16,Miami Dolphins / 7th / 233rd pick / 2006
Miles Austin,WR,Monmouth (NJ),,6-2,215,4.47,40.5,21,123,7.09,4.14,
Jason Avant,WR,Michigan,College Stats,6-0,212,4.62,37,20,118,,,Philadelphia Eagles / 4th / 109th pick / 2006
Brett Basanez,QB,Northwestern,College Stats,6-1,220,4.76,34,,114,6.75,4.22,
Hank Baskett,WR,New Mexico,College Stats,6-3,224,4.5,35,,119,6.79,4.17,
Danny Baugher,P,Arizona,College Stats,5-10,194,,,,,,,
Mike Bell,RB,Arizona,College Stats,6-0,221,4.6,31.5,19,112,7.16,4.21,
Charles Bennett,DE,Clemson,College Stats,6-4,258,4.7,33.5,19,115,7.48,4.52,Tampa Bay Buccaneers / 7th / 241st pick / 2006
Matt Bernstein,FB,Wisconsin,College Stats,6-0,260,4.91,29.5,22,110,7.46,4.5,
Antoine Bethea,S,Howard,,5-11,203,4.39,36.5,19,127,6.99,4.11,Indianapolis Colts / 6th / 207th pick / 2006
Troy Bienemann,TE,Washington State,College Stats,6-5,256,4.8,,,,,,
Damarius Bilbo,WR,Georgia Tech,College Stats,6-2,214,4.7,36.5,19,115,6.9,4.18,
Darnell Bing,S,USC,College Stats,6-2,227,4.53,34,17,120,7.25,4.07,Oakland Raiders / 4th / 101st pick / 2006
Will Blackmon,CB,Boston Col.,College Stats,6-0,198,4.47,41,,133,6.67,4.23,Green Bay Packers / 4th / 115th pick / 2006
Jeremy Bloom,WR,Colorado,,5-9,173,4.49,,,,,,Philadelphia Eagles / 5th / 147th pick / 2006
Greg Blue,S,Georgia,College Stats,6-2,216,4.57,37.5,16,120,,,Minnesota Vikings / 5th / 149th pick / 2006
Kevin Boothe,OT,Cornell,,6-5,316,5.41,31.5,23,98,8.36,5.07,Oakland Raiders / 6th / 176th pick / 2006
Jovon Bouknight,WR,Wyoming,College Stats,6-1,195,4.71,34,,120,6.93,4.03,
McKinley Boykin,DT,Mississippi,College Stats,6-1,289,5.01,30.5,30,109,,4.75,
Trent Bray,ILB,Oregon State,College Stats,6-1,231,4.9,32,18,109,7.15,4.41,
Darrell Brooks,S,Arizona,College Stats,6-0,198,4.61,36.5,7,125,6.97,4.36,
Manaia Brown,DT,BYU,College Stats,6-3,301,5.1,34.5,21,111,7.63,4.47,
Copeland Bryan,DE,Arizona,College Stats,6-4,253,4.9,33,16,117,7.11,4.3,
Daniel Bullocks,S,Nebraska,College Stats,6-0,212,4.38,38,18,124,6.91,4.16,Detroit Lions / 2nd / 40th pick / 2006
Brodrick Bunkley,DT,Florida State,College Stats,6-3,306,5.01,32.5,44,113,,,Philadelphia Eagles / 1st / 14th pick / 2006
Reggie Bush,RB,USC,College Stats,5-11,201,4.37,,,,,,New Orleans Saints / 1st / 2nd pick / 2006
Rashad Butler,OT,Miami (FL),College Stats,6-5,293,5.3,28,16,106,7.9,4.55,Carolina Panthers / 3rd / 89th pick / 2006
Brad Butler,OT,Virginia,College Stats,6-7,310,5.29,,,,,,Buffalo Bills / 5th / 143rd pick / 2006
Dominique Byrd,TE,USC,College Stats,6-3,255,4.79,,,,,,St. Louis Rams / 3rd / 93rd pick / 2006
Brian Calhoun,RB,Wisconsin,College Stats,5-9,201,4.57,31.5,18,124,7.05,4.2,Detroit Lions / 3rd / 74th pick / 2006
Bobby Carpenter,OLB,Ohio State,College Stats,6-2,256,4.65,,,,,,Dallas Cowboys / 1st / 18th pick / 2006
Jason Carter,WR,Texas A&M,College Stats,6-0,211,4.6,33,,116,6.89,4.21,
Chris Chester,C,Oklahoma,College Stats,6-3,303,4.83,31.5,27,106,7.31,4.5,Baltimore Ravens / 2nd / 56th pick / 2006
Jeromey Clary,OT,Kansas State,College Stats,6-6,309,5.28,26,24,102,7.8,4.63,San Diego Chargers / 6th / 187th pick / 2006
Kellen Clemens,QB,Oregon,College Stats,6-2,224,4.89,,,,,,New York Jets / 2nd / 49th pick / 2006
Barry Cofield,DT,Northwestern,College Stats,6-4,304,4.95,34,35,105,7.43,4.35,New York Giants / 4th / 124th pick / 2006
Daryn Colledge,OT,Boise State,,6-4,299,5.05,32.5,21,110,7.43,4.58,Green Bay Packers / 2nd / 47th pick / 2006
Marques Colston,WR,Hofstra,,6-5,224,4.5,37,16,123,6.94,4.43,New Orleans Saints / 7th / 252nd pick / 2006
Ryan Cook,OT,New Mexico,,6-7,328,5.47,26.5,28,97,7.93,4.66,Minnesota Vikings / 2nd / 51st pick / 2006
Antonio Cromartie,CB,Florida State,College Stats,6-2,208,4.47,38,18,132,,,San Diego Chargers / 1st / 19th pick / 2006
Brodie Croyle,QB,Alabama,College Stats,6-2,205,4.88,30.5,,104,7.34,4.25,Kansas City Chiefs / 3rd / 85th pick / 2006
Jay Cutler,QB,Vanderbilt,College Stats,6-3,226,4.77,,23,,7.1,4.26,Denver Broncos / 1st / 11th pick / 2006
P.J. Daniels,RB,Georgia Tech,College Stats,5-10,214,4.64,33,21,116,7.13,4.4,Baltimore Ravens / 4th / 132nd pick / 2006
Owen Daniels,TE,Wisconsin,College Stats,6-3,253,4.65,34.5,23,114,6.87,4.1,Houston Texans / 4th / 98th pick / 2006
Vernon Davis,TE,Maryland,College Stats,6-3,254,4.38,42,33,128,7,4.17,San Francisco 49ers / 1st / 6th pick / 2006
Charles Davis,TE,Purdue,College Stats,6-5,263,4.87,31.5,27,108,7.53,4.37,Pittsburgh Steelers / 5th / 167th pick / 2006
Tim Day,TE,Oregon,College Stats,6-3,256,4.74,35,24,109,7.03,4.2,
Mike Degory,C,Florida,College Stats,6-5,305,5.42,26,24,98,8.03,4.67,
Marcus Demps,S,San Diego State,College Stats,6-0,198,4.7,31,17,117,6.91,4.09,
Chris Denney,WR,Nebraska-Omaha,,6-3,224,4.65,33,13,110,7.02,4.33,
Will Derting,ILB,Washington State,College Stats,6-0,247,4.74,,,,,,
Tim Dobbins,ILB,Iowa State,College Stats,6-1,246,4.59,35.5,23,110,7.25,4.39,San Diego Chargers / 5th / 151st pick / 2006
Reed Doughty,S,Northern Colorado,,6-0,209,4.65,37,15,121,6.66,4.17,Washington Redskins / 6th / 173rd pick / 2006
Kader Drame,DT,Syracuse,College Stats,6-5,290,5.25,30.5,17,108,8.12,,
Elvis Dumervil,DE,Louisville,College Stats,5-11,257,4.75,,30,,,,Denver Broncos / 4th / 126th pick / 2006
Dusty Dvoracek,DT,Oklahoma,College Stats,6-3,306,5.01,34,31,110,7.62,4.35,Chicago Bears / 3rd / 73rd pick / 2006
Ray Edwards,DE,Purdue,College Stats,6-5,273,4.81,39,30,114,7.71,4.57,Minnesota Vikings / 4th / 127th pick / 2006
Keith Ellison,OLB,Oregon State,College Stats,6-1,235,4.76,32.5,24,115,7.22,4.16,Buffalo Bills / 6th / 178th pick / 2006
