Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Greg Eslinger,C,Minnesota,College Stats,6-3,292,5.13,30,28,101,7.59,4.68,Denver Broncos / 6th / 198th pick / 2006
Bruce Eugene,QB,Grambling State,,6-0,260,5.12,27.5,,94,7.97,4.76,
Jahri Evans,OT,Texas A&M,,6-4,316,5.25,27,20,95,7.97,4.8,New Orleans Saints / 4th / 108th pick / 2006
Anthony Fasano,TE,Notre Dame,College Stats,6-4,259,4.72,33.5,19,112,6.94,4.34,Dallas Cowboys / 2nd / 53rd pick / 2006
Daniel Fells,TE,California-Davis,,6-3,259,4.95,29.5,19,108,7.27,4.46,
D'Brickashaw Ferguson,OT,Virginia,,6-6,312,5.08,,,,,,New York Jets / 1st / 4th pick / 2006
Omar Gaither,OLB,Tennessee,College Stats,6-1,234,4.78,37,23,116,7.31,4.28,Philadelphia Eagles / 5th / 168th pick / 2006
Quinton Ganther,RB,Utah,College Stats,5-9,218,4.5,35,29,119,7.19,,Tennessee Titans / 7th / 246th pick / 2006
Ryan Gilbert,RB,Houston,College Stats,5-10,228,4.6,,,,,,
Chris Gocong,DE,Cal Poly,,6-2,263,4.7,38.5,28,123,7.05,4.08,Philadelphia Eagles / 3rd / 71st pick / 2006
Kedric Golston,DT,Georgia,College Stats,6-4,300,4.88,33,31,111,7.6,4.45,Washington Redskins / 6th / 196th pick / 2006
Charles Gordon,CB,Kansas,College Stats,5-10,183,4.6,35.5,12,115,6.95,4.2,
Bruce Gradkowski,QB,Toledo,College Stats,6-1,217,4.59,34,,107,7.12,4.16,Tampa Bay Buccaneers / 6th / 194th pick / 2006
Skyler Green,WR,LSU,College Stats,5-9,192,4.53,34,,118,,,Dallas Cowboys / 4th / 125th pick / 2006
Marcus Green,DT,Ohio State,College Stats,6-1,295,5.14,31,33,108,7.62,4.86,
Chad Greenway,OLB,Iowa,College Stats,6-2,242,4.76,33.5,16,117,7,4.22,Minnesota Vikings / 1st / 17th pick / 2006
Cedric Griffin,S,Texas,College Stats,6-0,199,4.51,35.5,17,125,6.84,4.1,Minnesota Vikings / 2nd / 48th pick / 2006
Darrell Hackney,QB,Ala-Birmingham,College Stats,6-0,239,4.82,33,,110,7.62,4.69,
Derek Hagan,WR,Arizona State,College Stats,6-2,208,4.45,36,,124,,4.07,Miami Dolphins / 3rd / 82nd pick / 2006
Marques Hagans,RB,Virginia,College Stats,5-9,202,4.67,35,,114,7.03,4.38,St. Louis Rams / 5th / 144th pick / 2006
Tamba Hali,DE,Penn State,College Stats,6-3,275,4.87,,,,,,Kansas City Chiefs / 1st / 20th pick / 2006
Andre Hall,RB,South Florida,College Stats,5-8,208,4.4,33,18,113,7.38,,
Chris Hannon,WR,Tennessee,College Stats,6-3,205,4.48,34.5,,122,,,
Parys Haralson,DE,Tennessee,College Stats,6-1,253,4.8,32,24,115,7.37,4.26,San Francisco 49ers / 5th / 140th pick / 2006
Roman Harper,S,Alabama,College Stats,6-0,198,4.5,,19,,,,New Orleans Saints / 2nd / 43rd pick / 2006
Chris Harrell,S,Penn State,College Stats,6-0,209,4.7,40.5,15,119,7.02,4.12,
Orien Harris,DT,Miami (FL),College Stats,6-3,301,5.27,,25,,,,Pittsburgh Steelers / 4th / 133rd pick / 2006
Gilbert Harris,FB,Arizona,College Stats,6-2,235,4.73,36,20,117,7,4.38,
Jerome Harrison,RB,Washington State,College Stats,5-9,201,4.47,34.5,19,124,6.77,4.07,Cleveland Browns / 5th / 145th pick / 2006
Mike Hass,WR,Oregon State,College Stats,6-1,208,4.59,32,,116,6.97,4.14,New Orleans Saints / 6th / 171st pick / 2006
Jason Hatcher,DE,Grambling State,,6-6,284,4.82,35.5,28,113,7.67,4.49,Dallas Cowboys / 3rd / 92nd pick / 2006
Spencer Havner,ILB,UCLA,College Stats,6-3,242,4.69,39,,116,6.81,4.07,
A.J. Hawk,OLB,Ohio State,College Stats,6-1,248,4.59,40,24,115,6.82,3.96,Green Bay Packers / 1st / 5th pick / 2006
Chris Hawkins,CB,Marshall,College Stats,5-10,183,4.51,37,16,116,,4.18,
Taurean Henderson,RB,Texas Tech,College Stats,5-9,204,4.62,32.5,,112,7.01,4.4,
Eric Henderson,DE,Georgia Tech,College Stats,6-2,270,4.75,,30,,,,
Matt Henshaw,TE,Florida State,College Stats,6-4,248,4.73,29,16,111,7.44,4.44,
Jarvis Herring,S,Florida,College Stats,5-11,207,4.85,36.5,15,116,7.34,4.23,
Devin Hester,WR,Miami (FL),College Stats,5-11,190,4.41,38,16,124,,,Chicago Bears / 2nd / 57th pick / 2006
Tye Hill,CB,Clemson,College Stats,5-10,185,4.34,41,,129,6.63,4.01,St. Louis Rams / 1st / 15th pick / 2006
Ed Hinkel,WR,Iowa,College Stats,6-0,190,4.54,34,,116,6.97,4.1,
Abdul Hodge,ILB,Iowa,College Stats,6-0,236,4.76,31,,108,7.09,4.3,Green Bay Packers / 3rd / 67th pick / 2006
Santonio Holmes,WR,Ohio State,College Stats,5-11,188,4.35,,,,,,Pittsburgh Steelers / 1st / 25th pick / 2006
Reuben Houston,CB,Georgia Tech,College Stats,6-0,192,4.62,41.5,21,127,,4.42,
Thomas Howard,OLB,Texas-El Paso,College Stats,6-3,239,4.42,39,21,124,6.96,4.28,Oakland Raiders / 2nd / 38th pick / 2006
Oliver Hoyte,ILB,North Carolina State,College Stats,6-3,245,4.93,32,19,112,7.47,4.3,
Marcus Hudson,S,North Carolina State,College Stats,6-1,194,4.55,,11,,,,San Francisco 49ers / 6th / 192nd pick / 2006
Michael Huff,S,Texas,College Stats,6-0,204,4.34,40.5,21,125,,,Oakland Raiders / 1st / 7th pick / 2006
Cedric Humes,RB,Virginia Tech,College Stats,6-1,227,4.62,30.5,18,106,7.07,4.22,Pittsburgh Steelers / 7th / 240th pick / 2006
Darrell Hunter,CB,Miami (OH),College Stats,6-0,206,4.44,36,8,123,,4.11,
Josh Huston,K,Ohio State,College Stats,6-1,209,,,,,,,
Clint Ingram,OLB,Oklahoma,College Stats,6-2,244,4.65,41,22,,7.12,4.1,Jacksonville Jaguars / 3rd / 80th pick / 2006
Brian Iwuh,OLB,Colorado,College Stats,6-0,234,4.66,,20,,,,
Tarvaris Jackson,QB,Arkansas,College Stats,6-2,226,4.69,31.5,22,107,7.4,4.38,Minnesota Vikings / 2nd / 64th pick / 2006
T.J. Jackson,DT,Auburn,College Stats,6-0,304,5.15,31,26,104,7.72,4.6,
D'Qwell Jackson,ILB,Maryland,College Stats,6-0,230,4.73,37,19,116,7.05,4.36,Cleveland Browns / 2nd / 34th pick / 2006
Chad Jackson,WR,Florida,College Stats,6-1,213,4.32,38.5,,122,6.73,3.97,New England Patriots / 2nd / 36th pick / 2006
Omar Jacobs,QB,Bowling Green,College Stats,6-4,232,4.84,32.5,,108,7.47,4.29,Pittsburgh Steelers / 5th / 164th pick / 2006
Max Jean-Gilles,OG,Georgia,College Stats,6-4,355,5.48,24.5,27,95,8.56,5.08,Philadelphia Eagles / 4th / 99th pick / 2006
Julian Jenkins,DE,Stanford,College Stats,6-4,277,5.03,34.5,25,110,7.11,4.23,Tampa Bay Buccaneers / 5th / 156th pick / 2006
Tim Jennings,CB,Georgia,College Stats,5-8,185,4.32,37.5,17,117,,,Indianapolis Colts / 2nd / 62nd pick / 2006
Kelly Jennings,CB,Miami (FL),College Stats,5-11,178,4.39,40,,120,,4,Seattle Seahawks / 1st / 31st pick / 2006
Greg Jennings,WR,West. Michigan,College Stats,5-11,197,4.42,36.5,,117,6.68,4.16,Green Bay Packers / 2nd / 52nd pick / 2006
Adam Jennings,WR,Fresno State,College Stats,5-9,181,4.44,37.5,,118,6.88,4.12,Atlanta Falcons / 6th / 184th pick / 2006
Brandon Johnson,OLB,Louisville,College Stats,6-5,228,4.44,37,11,118,7.17,4.34,Arizona Cardinals / 5th / 142nd pick / 2006
Johnny Jolly,DT,Texas A&M,College Stats,6-3,317,5.41,,,104,,,Green Bay Packers / 6th / 183rd pick / 2006
Maurice Jones-Drew,RB,UCLA,College Stats,5-7,207,4.39,36,18,116,7.08,4.38,Jacksonville Jaguars / 2nd / 60th pick / 2006
Johnathan Joseph,CB,South Carolina,,5-11,193,4.31,37,15,123,6.92,4.23,Cincinnati Bengals / 1st / 24th pick / 2006
Davin Joseph,OG,Oklahoma,College Stats,6-3,311,5.09,32,24,111,,4.97,Tampa Bay Buccaneers / 1st / 23rd pick / 2006
Winston Justice,OT,USC,College Stats,6-6,319,5.16,35,,110,7.31,4.53,Philadelphia Eagles / 2nd / 39th pick / 2006
Freddy Keiaho,ILB,San Diego State,College Stats,5-11,224,4.68,36,15,113,7.01,4.12,Indianapolis Colts / 3rd / 94th pick / 2006
Charlton Keith,OLB,Kansas,College Stats,6-4,237,4.78,30.5,12,109,7.03,4.36,
William Kershaw,OLB,Maryland,College Stats,6-3,240,4.63,37,21,111,6.95,4.17,
Jeff King,TE,Virginia Tech,College Stats,6-5,245,4.83,32.5,21,109,6.99,4.09,Carolina Panthers / 5th / 155th pick / 2006
David Kirtman,FB,USC,College Stats,5-11,233,4.76,29.5,,106,7.18,4.31,Seattle Seahawks / 5th / 163rd pick / 2006
Mathias Kiwanuka,DE,Boston Col.,College Stats,6-6,266,4.7,32,17,120,7.27,4.13,New York Giants / 1st / 32nd pick / 2006
Joe Klopfenstein,TE,Colorado,College Stats,6-6,255,4.63,36,27,112,7.39,4.21,St. Louis Rams / 2nd / 46th pick / 2006
Mike Kudla,DE,Ohio State,College Stats,6-2,265,4.72,37,45,114,7.21,4.45,
Chris Kuper,OG,North Dakota,,6-4,301,5.1,30,24,109,7.59,4.6,Denver Broncos / 5th / 161st pick / 2006
Ryan LaCasse,DE,Syracuse,College Stats,6-2,257,4.62,34,34,113,7.25,4.3,Baltimore Ravens / 7th / 219th pick / 2006
Dawan Landry,S,Georgia Tech,College Stats,6-1,220,4.64,37.5,18,124,,4.27,Baltimore Ravens / 5th / 146th pick / 2006
Manny Lawson,OLB,North Carolina State,College Stats,6-5,241,4.43,39.5,23,124,6.9,4.18,San Francisco 49ers / 1st / 22nd pick / 2006
Josh Lay,CB,Pittsburgh,,6-0,197,4.48,40.5,16,120,,,New Orleans Saints / 6th / 174th pick / 2006
Greg Lee,WR,Pittsburgh,College Stats,6-2,201,4.59,35.5,,114,6.8,4.09,
Matt Leinart,QB,USC,College Stats,6-5,223,4.9,,,,,,Arizona Cardinals / 1st / 10th pick / 2006
Marcedes Lewis,TE,UCLA,College Stats,6-6,261,4.8,37,23,118,7.24,4.82,Jacksonville Jaguars / 1st / 28th pick / 2006
Jonathan Lewis,DT,Virginia Tech,College Stats,6-1,309,4.97,33.5,24,111,7.4,4.4,Arizona Cardinals / 6th / 177th pick / 2006
David Lonie,P,California,College Stats,6-5,209,4.74,,,,,,
Calvin Lowry,S,Penn State,College Stats,5-11,200,4.54,36,15,120,7.16,4.2,Tennessee Titans / 4th / 102nd pick / 2006
Travis Lulay,QB,Montana State,,6-2,216,4.71,35,,111,6.93,4.07,
Wali Lundy,RB,Virginia,College Stats,5-11,214,4.48,35,18,111,6.99,4.36,Houston Texans / 6th / 170th pick / 2006
Deuce Lutui,OG,USC,,6-4,334,5.35,28,26,97,8.04,4.76,Arizona Cardinals / 2nd / 41st pick / 2006
Jesse Mahelona,DT,Tennessee,College Stats,6-0,311,5.37,,,,,,Tennessee Titans / 5th / 169th pick / 2006
Tom Malone,P,USC,College Stats,6-0,212,4.87,,,,,,
Antonio Malone,CB,Toledo,College Stats,6-0,200,4.59,34,10,111,7.05,4.1,
Nick Mangold,C,Ohio State,,6-4,300,5.05,27.5,24,104,7.47,4.36,New York Jets / 1st / 29th pick / 2006
Danieal Manning,CB,Abilene Christian,,5-11,202,4.48,39,17,123,7.23,4.07,Chicago Bears / 2nd / 42nd pick / 2006
Laurence Maroney,RB,Minnesota,College Stats,6-0,217,4.48,,,,,,New England Patriots / 1st / 21st pick / 2006
Richard Marshall,CB,Fresno State,College Stats,5-11,189,4.42,37,12,129,6.65,4.16,Carolina Panthers / 2nd / 58th pick / 2006
Brandon Marshall,WR,Central Florida,College Stats,6-4,229,4.52,37,,120,,,Denver Broncos / 4th / 119th pick / 2006
Jimmy Martin,OT,Virginia Tech,,6-5,303,5.23,31,25,101,,,San Diego Chargers / 7th / 227th pick / 2006
Ingle Martin,QB,Furman,,6-2,220,4.71,36,,111,7.13,4.17,Green Bay Packers / 5th / 148th pick / 2006
Derrick Martin,CB,Wyoming,College Stats,5-10,202,4.5,40,17,127,6.72,3.95,Baltimore Ravens / 6th / 208th pick / 2006
Tim Massaquoi,TE,Michigan,College Stats,6-3,259,4.85,,32,,,,Tampa Bay Buccaneers / 7th / 244th pick / 2006
Wendell Mathis,RB,Fresno State,College Stats,5-11,210,4.51,33,20,117,6.93,4.22,
Fred Matua,OG,USC,,6-2,306,5,24.5,28,93,7.87,4.76,Detroit Lions / 7th / 217th pick / 2006
Marcus Maxey,CB,Miami (FL),College Stats,6-1,198,4.48,41.5,14,129,,,Kansas City Chiefs / 5th / 154th pick / 2006
Dee McCann,CB,West Virginia,College Stats,5-11,197,4.53,40.5,,122,7.35,4.38,Detroit Lions / 6th / 179th pick / 2006
John McCargo,DT,North Carolina State,College Stats,6-1,302,5.15,30.5,25,110,7.79,4.48,Buffalo Bills / 1st / 26th pick / 2006
Stanley McClover,DE,Auburn,College Stats,6-2,262,4.7,39,19,114,7.87,4.5,Carolina Panthers / 7th / 237th pick / 2006
Tim McGarigle,ILB,Northwestern,College Stats,6-1,242,4.73,38,,118,7.09,4.07,St. Louis Rams / 7th / 221st pick / 2006
Rocky McIntosh,OLB,Miami (FL),,6-2,237,4.62,41.5,18,119,,,Washington Redskins / 2nd / 35th pick / 2006
Reggie McNeal,QB,Texas A&M,College Stats,6-2,198,4.4,32,,121,6.96,4.25,Cincinnati Bengals / 6th / 193rd pick / 2006
Marcus McNeill,OT,Auburn,College Stats,6-8,336,5.07,31,,98,8.19,5,San Diego Chargers / 2nd / 50th pick / 2006
Gerrick McPhearson,CB,Maryland,College Stats,5-10,196,4.42,41.5,18,129,,,New York Giants / 7th / 232nd pick / 2006
Paul McQuistan,OT,Weber State,,6-6,312,5.07,29.5,28,110,7.72,4.62,Oakland Raiders / 3rd / 69th pick / 2006
Robin Meadow,OG,Michigan State,,6-5,324,5.4,24,29,99,7.94,4.73,
Vincent Meeks,S,Texas Tech,College Stats,5-11,210,4.85,33,11,112,,,
Erik Meyer,QB,East. Washington,,6-1,210,4.67,32.5,,112,6.83,4.12,
Garrett Mills,FB,Tulsa,College Stats,6-1,241,4.64,35.5,23,111,6.81,4.05,New England Patriots / 4th / 106th pick / 2006
Jeremy Mincey,DE,Florida,College Stats,6-3,259,4.76,33.5,27,116,6.99,4.25,New England Patriots / 6th / 191st pick / 2006
DeMario Minter,CB,Georgia,College Stats,5-11,190,4.52,38.5,10,131,6.87,4.1,Cleveland Browns / 5th / 152nd pick / 2006
Anthony Mix,WR,Auburn,College Stats,6-4,235,4.48,31.5,,111,,,
Will Montgomery,C,Virginia Tech,,6-3,312,5.12,29.5,35,104,7.4,4.43,Carolina Panthers / 7th / 234th pick / 2006
DonTrell Moore,RB,New Mexico,College Stats,5-10,210,4.64,32,18,116,7.1,4.32,
Sinorice Moss,WR,Miami (FL),College Stats,5-8,185,4.38,,,,,,New York Giants / 2nd / 44th pick / 2006
Jeff Mullins,LS,Marshall,College Stats,6-2,247,5.03,,21,,,,
Martin Nance,WR,Miami (OH),College Stats,6-4,213,4.55,33.5,,112,6.91,4.08,
Terna Nande,OLB,Miami (OH),College Stats,6-0,232,4.51,39,41,124,6.97,4.11,Tennessee Titans / 5th / 137th pick / 2006
Javon Nanton,DE,Miami (FL),College Stats,6-3,250,4.8,28.5,22,108,,,
Khalid Naziruddin,CB,Texas Tech,College Stats,5-9,185,4.64,38.5,17,119,,,
Barrick Nealy,QB,Texas State,,6-4,226,4.57,32.5,,114,6.94,4.26,
Haloti Ngata,DT,Oregon,College Stats,6-4,338,5.13,31.5,37,110,7.95,4.65,Baltimore Ravens / 1st / 12th pick / 2006
A.J. Nicholson,OLB,Florida State,College Stats,6-1,252,4.88,,25,116,7.37,4.43,Cincinnati Bengals / 5th / 157th pick / 2006
Rob Ninkovich,DE,Purdue,College Stats,6-3,260,4.91,34.5,23,116,6.96,4.18,New Orleans Saints / 5th / 135th pick / 2006
Jerious Norwood,RB,Mississippi State,College Stats,6-0,210,4.4,36.5,15,122,6.81,4.25,Atlanta Falcons / 3rd / 79th pick / 2006
Ryan O'Callaghan,OT,California,,6-7,344,5.39,25,21,92,,,New England Patriots / 5th / 136th pick / 2006
Ben Obomanu,WR,Auburn,College Stats,6-1,205,4.45,38,,116,7.17,4.21,Seattle Seahawks / 7th / 249th pick / 2006
Quinn Ojinnaka,OT,Syracuse,,6-5,309,5.44,28.5,21,102,8.45,5.11,Atlanta Falcons / 5th / 139th pick / 2006
Melvin Oliver,DE,LSU,College Stats,6-3,276,5.08,,,,,,San Francisco 49ers / 6th / 197th pick / 2006
Thomas Olmsted,P,Troy,College Stats,6-4,214,5.18,,,,,,
Drew Olson,QB,UCLA,College Stats,6-2,222,5.09,23,,97,,4.42,
Chijioke Onyenegecha,CB,Oklahoma,College Stats,6-1,215,4.55,34.5,16,118,,,
Jonathan Orr,WR,Wisconsin,College Stats,6-2,198,4.44,35.5,,119,7.31,4.16,Tennessee Titans / 6th / 172nd pick / 2006
Babatunde Oshinowo,DT,Stanford,,6-2,304,5.27,32,33,105,7.87,4.54,Cleveland Browns / 6th / 181st pick / 2006
Jarrad Page,S,UCLA,College Stats,6-0,239,4.63,38,,127,6.68,4.14,Kansas City Chiefs / 7th / 228th pick / 2006
Kai Parham,ILB,Virginia,College Stats,6-3,256,4.98,35,30,116,7.35,4.33,
Sam Paulescu,P,Oregon State,College Stats,6-0,190,4.98,,,,,,
Domata Peko,DT,Michigan State,College Stats,6-3,307,5.27,28.5,25,103,7.69,4.49,Cincinnati Bengals / 4th / 123rd pick / 2006
Donald Penn,OT,Utah State,College Stats,6-4,317,5.05,,21,,,,
Terrance Pennington,OT,New Mexico,,6-7,325,5.39,28.5,28,102,,,Buffalo Bills / 7th / 216th pick / 2006
Charlie Peprah,S,Alabama,College Stats,5-11,206,4.66,37.5,15,119,6.81,4.09,New York Giants / 5th / 158th pick / 2006
Marvin Philip,C,California,,6-1,307,5.24,27,27,96,7.85,4.69,Pittsburgh Steelers / 6th / 201st pick / 2006
Anwar Phillips,CB,Penn State,College Stats,6-0,193,4.6,,,,,,
Paul Pinegar,QB,Fresno State,College Stats,6-5,232,5.1,29,,110,7.36,4.49,
David Pittman,CB,NW State (LA),,5-11,182,4.44,36,14,128,,4.23,Baltimore Ravens / 3rd / 87th pick / 2006
Ryan Plackemeier,P,Wake Forest,College Stats,6-3,253,5.2,,,,,,Seattle Seahawks / 7th / 239th pick / 2006
Jason Pociask,TE,Wisconsin,College Stats,6-3,266,4.84,32.5,23,115,7.31,4.3,New York Jets / 5th / 150th pick / 2006
Bernard Pollard,S,Purdue,College Stats,6-2,224,4.57,36.5,,131,,,Kansas City Chiefs / 2nd / 54th pick / 2006
