Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Josh Booty,QB,LSU,College Stats,6-2,221,4.9,29.5,,105,7.54,4.48,Seattle Seahawks / 6th / 172nd pick / 2001
Jarvis Borum,OG,North Carolina State,,6-7,332,5.05,30.5,25,107,8.08,4.83,
Kyle Vanden Bosch,DE,Nebraska,,6-4,270,4.75,36.5,26,119,6.82,4.08,Arizona Cardinals / 2nd / 34th pick / 2001
James Boyd,S,Penn State,College Stats,5-11,207,4.59,32.5,,117,7.29,4.24,Jacksonville Jaguars / 3rd / 94th pick / 2001
Roylin Bradley,OLB,Texas A&M,,6-1,243,4.67,34,19,116,7.16,4.28,
Drew Brees,QB,Purdue,College Stats,6-0,213,4.83,32,,105,7.09,4.21,San Diego Chargers / 2nd / 32nd pick / 2001
Sean Brewer,TE,San Jose State,College Stats,6-4,255,4.73,36,14,117,7.37,4.18,Cincinnati Bengals / 3rd / 66th pick / 2001
Corey Brown,WR,Tulsa,College Stats,6-0,202,4.63,39.5,,126,,,
Chris Brown,OT,Georgia Tech,College Stats,6-5,329,5.33,,30,,,,Tennessee Titans / 3rd / 93rd pick / 2003
Kenny Bryant,CB,Jackson State,,5-11,190,4.65,37.5,10,117,7.5,4.15,
Correll Buckhalter,RB,Nebraska,College Stats,6-0,226,4.53,40,11,123,7.08,4.06,Philadelphia Eagles / 4th / 121st pick / 2001
Derrick Burgess,DE,Mississippi,College Stats,6-2,264,4.92,40,24,125,7.85,,Philadelphia Eagles / 3rd / 63rd pick / 2001
Adrian Burnette,WR,Tulane,College Stats,5-10,191,4.63,,,,,,
Jerametrius Butler,CB,Kansas State,College Stats,5-10,173,4.57,36,11,121,7.22,4.4,St. Louis Rams / 5th / 145th pick / 2001
Cecil Caldwell,DT,South Carolina,,6-1,268,4.93,,,,,,
John Capel,WR,Florida,,5-11,177,4.39,36.5,,126,,,Chicago Bears / 7th / 208th pick / 2001
Terrence Carroll,S,Oregon State,College Stats,6-0,212,4.63,,,,,,
Elliott Carson,TE,Vanderbilt,College Stats,6-4,246,4.9,36,16,115,7.52,4.21,
Robert Carswell,S,Clemson,College Stats,6-0,214,4.59,34,21,106,7.14,4.18,San Diego Chargers / 7th / 244th pick / 2001
Quincy Carter,QB,Georgia,College Stats,6-2,225,4.58,35.5,,113,7.12,4.12,Dallas Cowboys / 2nd / 53rd pick / 2001
Andre Carter,DE,California,College Stats,6-4,249,4.84,38.5,20,132,,4.24,San Francisco 49ers / 1st / 7th pick / 2001
Quinton Caver,ILB,Arkansas,College Stats,6-4,227,4.67,37.5,23,118,7.66,4.25,Philadelphia Eagles / 2nd / 55th pick / 2001
Derrick Chambers,DT,Florida,,6-4,299,4.98,,32,,,,
Chris Chambers,WR,Wisconsin,College Stats,6-0,210,4.33,45,,134,,4,Miami Dolphins / 2nd / 52nd pick / 2001
Jeff Chaney,RB,Florida State,College Stats,5-11,193,4.46,,,,,,
Jeff Chase,OG,Texas A&M-Kingsville,,6-3,303,5.25,,27,,,,
Patrick Chukwurah,OLB,Wyoming,College Stats,6-2,238,4.77,40,24,119,7.34,4.21,Minnesota Vikings / 5th / 157th pick / 2001
Kenny Clark,WR,Central Florida,College Stats,6-1,225,4.59,35.5,,121,,,
Nate Clements,CB,Ohio State,College Stats,5-11,209,4.38,,,,,,Buffalo Bills / 1st / 21st pick / 2001
Tay Cody,CB,Florida State,College Stats,5-9,181,4.55,,11,,,,San Diego Chargers / 3rd / 67th pick / 2001
Justin Coleman,QB,Nebraska-Kearney,,6-4,238,5.22,29.5,,101,7.78,4.62,
Derek Combs,RB,Ohio State,College Stats,6-0,193,4.42,35,8,120,6.96,4.07,Oakland Raiders / 7th / 228th pick / 2001
Jameel Cook,FB,Illinois,College Stats,5-10,226,4.8,29.5,17,108,7.55,4.38,Tampa Bay Buccaneers / 6th / 174th pick / 2001
Jarrod Cooper,S,Kansas State,,6-0,222,4.45,41.5,,130,6.87,3.9,Carolina Panthers / 5th / 143rd pick / 2001
Chris Cooper,DE,Nebraska-Omaha,,6-5,272,4.95,35.5,24,114,7.12,4.21,Oakland Raiders / 6th / 184th pick / 2001
Dave Costa,OG,Wisconsin,,6-6,305,5.34,,17,,,,
Rodney Crayton,CB,Auburn,College Stats,5-8,178,4.6,35.5,13,118,7.25,4.4,
Rick Crowell,OLB,Colorado State,College Stats,6-3,242,5.03,31.5,19,109,7.54,4.35,Miami Dolphins / 6th / 188th pick / 2001
Corey Crume,RB,East. Kentucky,,5-11,225,4.76,37,15,115,7.36,4.32,
Alge Crumpler,TE,North Carolina,College Stats,6-2,266,4.76,34,22,112,7.38,4.43,Atlanta Falcons / 2nd / 35th pick / 2001
Will Cuthbert,OG,Alabama,,6-5,318,5.53,24.5,17,91,8.84,5.06,
Ronney Daniels,WR,Auburn,College Stats,6-1,212,4.61,34.5,,118,,,
Leonard Davis,OT,Texas,College Stats,6-6,370,5.32,28,33,97,8.72,5.18,Arizona Cardinals / 1st / 2nd pick / 2001
Ennis Davis,DT,USC,,6-4,302,5.1,27.5,23,99,7.98,4.87,New Orleans Saints / 7th / 221st pick / 2001
Rick DeMulling,OG,Idaho,,6-4,307,5.24,31.5,32,108,7.62,4.6,Indianapolis Colts / 7th / 220th pick / 2001
Anthony Denman,ILB,Notre Dame,,6-1,239,4.76,,,,,,Jacksonville Jaguars / 7th / 213th pick / 2001
Ryan Diem,OT,Northern Illinois,,6-7,338,5.13,34,,102,7.5,4.46,Indianapolis Colts / 4th / 118th pick / 2001
Tony Dixon,S,Alabama,College Stats,6-1,213,4.63,37,17,117,7.38,,Dallas Cowboys / 2nd / 56th pick / 2001
Jason Doering,S,Wisconsin,College Stats,5-11,202,4.73,,,,7.07,4.12,Indianapolis Colts / 6th / 193rd pick / 2001
Char-Ron Dorsey,OT,Florida State,,6-6,348,5.99,,16,,,,Dallas Cowboys / 7th / 242nd pick / 2001
Eric Downing,DT,Syracuse,,6-3,302,5.23,,27,,,,Kansas City Chiefs / 3rd / 75th pick / 2001
Shawn Draper,OG,Alabama,College Stats,6-3,303,5.3,32,17,106,8.1,4.77,Miami Dolphins / 5th / 156th pick / 2001
Patrick Dyson,CB,Utah,College Stats,5-11,192,4.55,31.5,,114,,,
Andre Dyson,CB,Utah,College Stats,5-10,179,4.4,,,119,,,Tennessee Titans / 2nd / 60th pick / 2001
Nijrell Eason,CB,Arizona State,College Stats,6-1,201,4.59,34.5,19,119,,,
Ron Edwards,DT,Texas A&M,,6-3,293,4.86,,,,,,Buffalo Bills / 3rd / 76th pick / 2001
Heath Evans,FB,Auburn,College Stats,6-0,246,4.56,34.5,30,111,7.3,4.24,Seattle Seahawks / 3rd / 82nd pick / 2001
Mario Fatafehi,DT,Kansas State,,6-2,295,5.29,,,,,,Arizona Cardinals / 5th / 133rd pick / 2001
Robert Ferguson,WR,Texas A&M,College Stats,6-1,205,4.48,36.5,,120,7.24,4.07,Green Bay Packers / 2nd / 41st pick / 2001
Bill Ferrario,OG,Wisconsin,,6-2,314,5.3,,17,,,,Green Bay Packers / 4th / 105th pick / 2001
Dauntae' Finger,TE,North Carolina,College Stats,6-4,262,5.09,33.5,15,103,7.95,4.59,Tampa Bay Buccaneers / 7th / 205th pick / 2001
Jamar Fletcher,CB,Wisconsin,College Stats,5-9,180,4.48,,,,,,Miami Dolphins / 1st / 26th pick / 2001
Richmond Flowers,WR,Tenn-Chattanooga,,5-11,195,4.55,35.5,,114,6.98,3.96,
Kynan Forney,OG,Hawaii,,6-2,312,5.28,27,23,97,8.56,4.7,Atlanta Falcons / 7th / 219th pick / 2001
Shawn Forte,S,Maryland,College Stats,6-1,204,4.54,,20,,,,
Curtis Fuller,S,TCU,College Stats,5-10,186,4.45,36,18,114,7.2,4.21,Seattle Seahawks / 4th / 127th pick / 2001
Setema Gali,DE,BYU,,6-4,251,4.88,,,,,,
Mike Gandy,OG,Notre Dame,,6-4,305,5.2,30.5,,103,8.03,4.71,Chicago Bears / 3rd / 68th pick / 2001
Rod Gardner,WR,Clemson,College Stats,6-2,219,4.48,,,,,,Washington Redskins / 1st / 15th pick / 2001
Randy Garner,DE,Arkansas,,6-4,277,4.77,,,,,,Atlanta Falcons / 6th / 167th pick / 2001
Roberto Garza,C,Texas A&M-Kingsville,,6-2,303,5,32.5,37,114,7.71,4.53,Atlanta Falcons / 4th / 99th pick / 2001
Reggie Germany,WR,Ohio State,College Stats,6-1,183,4.39,,,,,,Buffalo Bills / 7th / 214th pick / 2001
Derrick Gibson,S,Florida State,College Stats,6-2,218,4.45,,17,,,,Oakland Raiders / 1st / 28th pick / 2001
Jason Glenn,OLB,Texas A&M,College Stats,6-1,236,4.94,36,14,115,7.16,4.31,Detroit Lions / 6th / 173rd pick / 2001
Kenneth Grant,CB,Kentucky,,5-10,204,4.53,39,,115,7.15,4.34,
DeLawrence Grant,DE,Oregon State,College Stats,6-3,280,4.77,,,,,,Oakland Raiders / 3rd / 89th pick / 2001
Javon Green,WR,Colorado,College Stats,6-1,211,4.73,35.5,,113,7.41,4.34,
Morlon Greenwood,OLB,Syracuse,,6-0,237,4.69,33.5,21,112,7.62,4.08,Miami Dolphins / 3rd / 88th pick / 2001
Shane Griggs,QB,Michigan,,6-4,199,4.83,,,,,,
Latef Grim,WR,Pittsburgh,College Stats,5-11,188,4.6,,,111,7.27,4.33,
Daniel Guy,WR,Jackson State,,6-2,211,4.61,38.5,,125,7.35,4.29,
Adam Haayer,OG,Minnesota,,6-6,298,5.3,,23,,,,Tennessee Titans / 6th / 199th pick / 2001
Corey Hall,S,Appalachian State,,6-3,198,4.5,36.5,14,127,,,Atlanta Falcons / 7th / 215th pick / 2001
Ben Hamilton,C,Minnesota,College Stats,6-5,303,5.26,33.5,17,106,7.62,4.62,Denver Broncos / 4th / 113th pick / 2001
Casey Hampton,DT,Texas,College Stats,6-1,314,5.25,,34,,,,Pittsburgh Steelers / 1st / 19th pick / 2001
Nick Harris,P,California,College Stats,6-2,221,,,,,,,Denver Broncos / 4th / 120th pick / 2001
Antoine Harris,TE,Louisville,College Stats,6-3,260,4.93,,11,,,,
Shaunard Harts,S,Boise State,College Stats,6-0,200,4.56,34.5,12,119,7.14,,Kansas City Chiefs / 7th / 212th pick / 2001
Edgerton Hartwell,ILB,West. Illinois,,6-1,250,4.86,36.5,18,114,7.64,4.56,
Tim Hasselbeck,QB,Boston Col.,College Stats,6-1,211,4.83,33,,113,7.27,4.4,
Reggie Hayward,DE,Iowa State,,6-5,255,4.91,41,21,127,7.43,4.43,Denver Broncos / 3rd / 87th pick / 2001
Todd Heap,TE,Arizona State,College Stats,6-5,252,4.68,,,,,,Baltimore Ravens / 1st / 31st pick / 2001
Jamie Henderson,CB,Georgia,College Stats,6-1,202,4.48,40.5,10,125,6.9,4.12,New York Jets / 4th / 101st pick / 2001
Travis Henry,RB,Tennessee,College Stats,5-9,223,4.61,,23,,,,Buffalo Bills / 2nd / 58th pick / 2001
Anthony Henry,CB,South Florida,College Stats,6-1,198,4.6,41,15,126,6.9,4.2,Cleveland Browns / 4th / 97th pick / 2001
Anthony Herron,DE,Iowa,,6-3,280,5.16,36,26,114,7.58,4.43,
Josh Heupel,QB,Oklahoma,College Stats,6-2,215,4.85,37.5,,114,7.18,4.15,Miami Dolphins / 6th / 177th pick / 2001
Renaldo Hill,CB,Michigan State,College Stats,5-11,178,4.68,35.5,10,116,7.07,4.18,Arizona Cardinals / 7th / 202nd pick / 2001
Russ Hochstein,OG,Nebraska,,6-3,300,5.4,26.5,16,95,7.85,4.69,Tampa Bay Buccaneers / 5th / 151st pick / 2001
Sedrick Hodge,OLB,North Carolina,,6-4,244,4.49,32,21,120,,4.09,New Orleans Saints / 3rd / 70th pick / 2001
Paul Hogan,C,Alabama,,6-3,290,5.5,29,26,102,7.78,4.54,
Menson Holloway,DE,Texas-El Paso,,6-2,284,4.9,34.5,19,111,7.54,4.43,San Francisco 49ers / 6th / 191st pick / 2001
Jabari Holloway,TE,Notre Dame,College Stats,6-2,253,4.91,38.5,20,113,7.14,4.4,New England Patriots / 4th / 119th pick / 2001
Rashad Holman,CB,Louisville,College Stats,5-11,186,4.58,42,6,129,7.09,3.85,San Francisco 49ers / 6th / 179th pick / 2001
Derek Homer,RB,Kentucky,College Stats,5-8,194,4.6,32.5,,113,7.24,4.3,
Margin Hooks,WR,BYU,College Stats,5-11,191,4.5,36,,116,7.08,4.18,
Willie Howard,DT,Stanford,College Stats,6-3,295,4.94,,23,,,,Minnesota Vikings / 2nd / 57th pick / 2001
John Howell,S,Colorado State,College Stats,6-0,204,4.64,37,14,121,6.87,4.12,Tampa Bay Buccaneers / 4th / 117th pick / 2001
Orlando Huff,OLB,Fresno State,College Stats,6-2,245,4.7,,16,,,,Seattle Seahawks / 4th / 104th pick / 2001
Steve Hutchinson,OG,Michigan,College Stats,6-5,315,5.15,33.5,31,106,,4.74,Seattle Seahawks / 1st / 17th pick / 2001
Khori Ivy,WR,West Virginia,College Stats,6-2,195,4.64,,,,,,
James Jackson,RB,Miami (FL),College Stats,5-10,210,4.55,,,,,,Cleveland Browns / 3rd / 65th pick / 2001
Arnold Jackson,WR,Louisville,College Stats,5-8,167,4.48,41,,127,7.42,4.11,
William James,CB,West. Illinois,,6-0,197,4.51,38.5,13,120,,,
Cedric James,WR,TCU,College Stats,6-2,204,4.49,43,,134,,,Minnesota Vikings / 4th / 131st pick / 2001
Michael Jameson,S,Texas A&M,College Stats,5-11,186,4.5,34.5,9,118,7.13,4.2,Cleveland Browns / 6th / 165th pick / 2001
Ortege Jenkins,QB,Arizona,College Stats,6-1,234,4.82,34.5,,108,7.32,4.4,
Kris Jenkins,DT,Maryland,,6-5,318,5.19,31,33,108,7.85,4.4,Carolina Panthers / 2nd / 44th pick / 2001
Ligarius Jennings,CB,Tennessee State,,5-9,202,4.67,34,11,120,7.07,4.03,
Jonas Jennings,OT,Georgia,,6-4,334,5.31,29.5,31,102,8.08,4.93,Buffalo Bills / 3rd / 95th pick / 2001
Sly Johnson,WR,Miami (OH),College Stats,5-9,181,4.61,35.5,,115,,,
Rudi Johnson,RB,Auburn,College Stats,5-10,227,4.57,37.5,24,119,7.32,4.22,Cincinnati Bengals / 4th / 100th pick / 2001
Jevaris Johnson,TE,Georgia,College Stats,6-5,257,4.9,,,,,,
Chad Johnson,WR,Oregon State,College Stats,6-1,192,4.57,33,,108,7.51,4.14,Cincinnati Bengals / 2nd / 36th pick / 2001
Kenyatta Jones,OT,South Florida,,6-3,308,5.01,,31,,,,New England Patriots / 4th / 96th pick / 2001
Lamont Jordan,RB,Maryland,College Stats,5-10,234,4.57,,24,,,,New York Jets / 2nd / 49th pick / 2001
Kevin Jordan,OG,Fresno State,,6-5,308,5.07,31.5,20,112,,4.95,
Bhawoh Jue,CB,Penn State,College Stats,6-0,199,4.54,34.5,,113,7.21,4.27,Green Bay Packers / 3rd / 71st pick / 2001
Kevin Kasper,WR,Iowa,College Stats,6-0,199,4.42,43.5,,126,6.56,3.73,Denver Broncos / 6th / 190th pick / 2001
Michael Keathley,OG,TCU,,6-4,308,5.24,32.5,28,,,,
Rod Kelly,DE,Northeastern State,,6-5,254,4.93,28.5,20,114,7.93,4.55,
Eric Kelly,CB,Kentucky,College Stats,5-10,199,4.46,36,15,120,7.24,4.18,Minnesota Vikings / 3rd / 69th pick / 2001
Robert Kilow,WR,Arkansas State,College Stats,5-10,171,4.44,,,,,,
Andre King,WR,Miami (FL),College Stats,6-0,199,4.61,,,,,,Cleveland Browns / 7th / 245th pick / 2001
Dave Klemic,WR,Northeastern (MA),,5-11,188,4.37,36.5,,116,,,
Ross Kolodziej,DE,Wisconsin,College Stats,6-3,290,4.87,34.5,25,111,7.37,4.36,New York Giants / 7th / 230th pick / 2001
Justin Kurpeikis,DE,Penn State,College Stats,6-3,252,4.97,31.5,22,118,6.82,4.1,
George Layne,FB,TCU,College Stats,5-11,242,4.59,32,,115,7.08,4.19,Kansas City Chiefs / 4th / 108th pick / 2001
David Leaverton,P,Tennessee,College Stats,6-3,211,,,,,,,Jacksonville Jaguars / 5th / 142nd pick / 2001
Matt Lehr,OG,Virginia Tech,,6-2,290,5.28,31.5,28,111,7.59,4.44,Dallas Cowboys / 5th / 137th pick / 2001
Cleo Lemon,QB,Arkansas State,College Stats,6-2,226,4.87,35.5,,106,7.33,4.27,
Damione Lewis,DT,Miami (FL),,6-3,293,4.9,,22,,,,St. Louis Rams / 1st / 12th pick / 2001
Victor Leyva,OG,Arizona State,College Stats,6-3,313,5.33,30,37,105,8,4.73,Cincinnati Bengals / 5th / 135th pick / 2001
Matt Light,OT,Purdue,College Stats,6-5,311,5.29,,26,,7.84,4.49,New England Patriots / 2nd / 48th pick / 2001
Alex Lincoln,ILB,Auburn,College Stats,6-0,251,4.77,35,22,111,,,San Francisco 49ers / 7th / 209th pick / 2001
DeAngelo Lloyd,DE,Tennessee,College Stats,6-5,264,4.88,,15,,,,
Arther Love,TE,South Carolina State,,6-4,236,4.75,36,24,,,,New England Patriots / 6th / 180th pick / 2001
Ken Lucas,CB,Mississippi,College Stats,6-0,200,4.45,,,,,,Seattle Seahawks / 2nd / 40th pick / 2001
LaShaun Mack,C,Norfolk State,,6-3,299,5.56,26.5,17,92,8.59,4.99,
Brandon Manumaleuna,TE,Arizona,College Stats,6-2,275,4.99,30,,106,7.49,4.26,St. Louis Rams / 4th / 129th pick / 2001
Torrance Marshall,ILB,Oklahoma,College Stats,6-2,249,4.7,,,,,,Green Bay Packers / 3rd / 72nd pick / 2001
David Martin,WR,Tennessee,College Stats,6-4,242,4.76,,,,,,Green Bay Packers / 6th / 198th pick / 2001
Shaun Mason,OG,Michigan State,,6-5,302,5.49,,,,,,
Deuce McAllister,RB,Mississippi,College Stats,6-1,222,4.41,,,,,,New Orleans Saints / 1st / 23rd pick / 2001
Brent McCaffrey,OG,USC,,6-4,282,5.2,,,,,,
Justin McCareins,WR,Northern Illinois,College Stats,6-2,209,4.51,41,,129,7.06,3.99,Tennessee Titans / 4th / 124th pick / 2001
Dustin McClintock,FB,Alabama,College Stats,6-1,259,5.31,30,7,105,8.1,4.58,
Quentin McCord,WR,Kentucky,College Stats,5-10,191,4.48,36.5,,112,7.17,4.18,Atlanta Falcons / 7th / 236th pick / 2001
Marlon McCree,S,Kentucky,College Stats,5-11,197,4.62,38,10,117,7.36,4.1,Jacksonville Jaguars / 7th / 233rd pick / 2001
Jeff McCurley,C,Pittsburgh,,6-4,280,5.25,,,,,,
Kareem McKenzie,OT,Penn State,,6-6,328,5.33,33,20,104,7.87,4.8,New York Jets / 3rd / 79th pick / 2001
Mike McMahon,QB,Rutgers,College Stats,6-2,207,4.57,37.5,,124,7.12,4.12,Detroit Lions / 5th / 149th pick / 2001
Shad Meier,TE,Kansas State,College Stats,6-5,256,4.85,34,20,113,7.14,4.15,Tennessee Titans / 3rd / 90th pick / 2001
Willie Middlebrooks,CB,Minnesota,College Stats,6-2,200,4.5,,17,,,,Denver Broncos / 1st / 24th pick / 2001
Romaro Miller,QB,Mississippi,College Stats,6-0,205,4.61,35,,110,7.4,4.51,
Shawn Mills,WR,Southern Miss,College Stats,6-0,180,4.51,34.5,,116,7.12,4.15,
Snoop Minnis,WR,Florida State,College Stats,6-1,171,4.57,37.5,,115,7.06,4.07,Kansas City Chiefs / 3rd / 77th pick / 2001
Travis Minor,RB,Florida State,College Stats,5-10,197,4.44,32,9,115,,,Miami Dolphins / 3rd / 85th pick / 2001
Dwayne Missouri,DE,Northwestern,College Stats,6-5,258,5.03,38,21,116,7.5,4.4,Baltimore Ravens / 7th / 231st pick / 2001
Hodges Mitchell,RB,Texas,College Stats,5-7,180,4.53,,,,,,
Freddie Mitchell,WR,UCLA,College Stats,5-11,185,4.46,39.5,,120,6.95,4.06,Philadelphia Eagles / 1st / 25th pick / 2001
Mario Monds,DT,Cincinnati,,6-3,342,5.04,28.5,,99,8.06,4.73,Washington Redskins / 6th / 186th pick / 2001
Keon Moore,CB,Southern Miss,College Stats,5-11,193,4.56,37.5,10,119,7.06,4.2,
Zeke Moreno,ILB,USC,College Stats,6-2,248,4.76,,24,,7.1,4.31,San Diego Chargers / 5th / 139th pick / 2001
Quincy Morgan,WR,Kansas State,College Stats,6-1,211,4.48,,,,,,Cleveland Browns / 2nd / 33rd pick / 2001
Dan Morgan,ILB,Miami (FL),College Stats,6-2,240,4.54,,,,,,Carolina Panthers / 1st / 11th pick / 2001
Santana Moss,WR,Miami (FL),College Stats,5-10,184,4.31,,,,,,New York Jets / 1st / 16th pick / 2001
Leonard Myers,CB,Miami (FL),College Stats,5-10,190,4.65,37,13,120,7.21,4.16,New England Patriots / 6th / 200th pick / 2001
Brian Natkin,TE,Texas-El Paso,College Stats,6-2,251,4.95,27,20,98,7.78,4.59,
Steve Neal,WR,West. Michigan,College Stats,6-1,190,4.59,36,,119,7.18,4.19,
Carl Nesmith,S,Kansas,College Stats,6-2,223,4.95,31.5,5,112,,,
Bobby Newcombe,WR,Nebraska,College Stats,5-10,195,4.53,37,,117,6.86,3.98,Arizona Cardinals / 6th / 166th pick / 2001
Richard Newsome,S,Michigan State,College Stats,5-11,203,4.59,,14,,,,
Mathias Nkwenti,OG,Temple,,6-3,293,5.57,35.5,29,113,7.66,4.18,Pittsburgh Steelers / 4th / 111th pick / 2001
Dennis Norman,OG,Princeton,,6-4,305,5.16,35,25,107,8.08,4.72,Seattle Seahawks / 7th / 222nd pick / 2001
Moran Norris,FB,Kansas,College Stats,6-1,250,4.63,31,37,114,7.56,4.5,New Orleans Saints / 4th / 115th pick / 2001
Dan O'Leary,TE,Notre Dame,College Stats,6-4,252,5.02,32,16,113,7.4,4.31,Buffalo Bills / 6th / 195th pick / 2001
Ifeanyi Ohalete,S,USC,,6-2,221,4.64,,16,,,,
Chukky Okobi,C,Purdue,College Stats,6-1,316,5.27,32.5,24,103,7.87,4.61,Pittsburgh Steelers / 5th / 146th pick / 2001
Jesse Palmer,QB,Florida,College Stats,6-2,231,4.78,35.5,,112,7.13,4.29,New York Giants / 4th / 125th pick / 2001
Saul Patu,DE,Oregon,,6-2,272,5.01,30.5,22,112,7.52,4.43,
Tupe Peko,C,Michigan State,,6-4,300,5.36,28,,92,8.1,4.56,New York Jets / 7th / 217th pick / 2001
Devonte Peterson,DE,Catawba,,6-3,275,5.02,,31,,,,
Jeremiah Pharms,OLB,Washington,College Stats,6-0,257,4.91,32.5,,106,7.37,4.53,Cleveland Browns / 5th / 134th pick / 2001
Ryan Pickett,DT,Ohio State,,6-2,309,5.1,,,,,,St. Louis Rams / 1st / 29th pick / 2001
Vitaly Pisetsky,K,Wisconsin,College Stats,5-10,232,,,,,,,
Owen Pochman,K,BYU,College Stats,5-11,179,,,,,,,New England Patriots / 7th / 216th pick / 2001
Carlos Polk,ILB,Nebraska,College Stats,6-2,251,4.76,,,,,,San Diego Chargers / 4th / 112th pick / 2001
Tommy Polley,OLB,Florida State,College Stats,6-4,234,4.55,,,,,,St. Louis Rams / 2nd / 42nd pick / 2001
Nate Poole,WR,Marshall,College Stats,6-1,198,4.79,32.5,,112,7.26,4.22,
Ryan Prince,TE,Weber State,,6-4,257,4.99,31,20,102,7.65,4.45,
Casey Rabach,C,Wisconsin,,6-4,298,5.23,,19,,,,Baltimore Ravens / 3rd / 92nd pick / 2001
Dominic Raiola,C,Nebraska,College Stats,6-2,307,5.13,33,29,108,7.55,4.35,Detroit Lions / 2nd / 50th pick / 2001
Ken-Yon Rambo,WR,Ohio State,College Stats,6-1,196,4.34,,,,,,Oakland Raiders / 7th / 229th pick / 2001
Josh Redding,OG,Virginia Tech,,6-4,317,5.47,27,31,97,7.85,4.8,
Ray Redziniak,OG,Illinois,,6-3,296,5.5,27,32,92,8.17,4.77,
Jamal Reynolds,DE,Florida State,College Stats,6-3,267,4.72,,,,,,Green Bay Packers / 1st / 10th pick / 2001
