Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Keith Adams,OLB,Clemson,College Stats,5-11,219,4.82,,24,104,,,Tennessee Titans / 7th / 232nd pick / 2001
Hakim Akbar,S,Washington,College Stats,6-0,210,4.55,,,,,,New England Patriots / 5th / 163rd pick / 2001
Will Allen,CB,Syracuse,College Stats,5-10,192,4.44,39.5,14,121,6.78,3.9,New York Giants / 1st / 22nd pick / 2001
Matt Allen,P,Troy,,6-3,246,,,,,,,
David Allen,RB,Kansas State,College Stats,5-9,194,4.62,31,15,111,,,
Brian Allen,OLB,Florida State,College Stats,6-0,238,4.65,,25,,,,St. Louis Rams / 3rd / 83rd pick / 2001
Scotty Anderson,WR,Grambling State,,6-2,184,4.57,34.5,,115,,,Detroit Lions / 5th / 148th pick / 2001
Adam Archuleta,S,Arizona State,College Stats,6-0,211,4.46,,31,,,,St. Louis Rams / 1st / 20th pick / 2001
Tom Ashworth,OG,Colorado,College Stats,6-6,293,5.11,33.5,20,109,7.4,4.3,
Billy Baber,TE,Virginia,College Stats,6-4,255,4.76,33,22,106,7.12,4.19,Kansas City Chiefs / 5th / 141st pick / 2001
Jeff Backus,OT,Michigan,,6-5,310,5.37,27,25,99,8.27,4.67,Detroit Lions / 1st / 18th pick / 2001
Rodney Bailey,DE,Ohio State,,6-3,283,5.1,,,,,,Pittsburgh Steelers / 6th / 181st pick / 2001
Jason Baker,P,Iowa,College Stats,6-1,198,,,,,,,
Alex Bannister,WR,East. Kentucky,,6-5,201,4.47,30.5,,110,,,Seattle Seahawks / 5th / 140th pick / 2001
Kevan Barlow,RB,Pittsburgh,College Stats,6-1,235,4.56,,,,,,San Francisco 49ers / 3rd / 80th pick / 2001
Idrees Bashir,S,Memphis,College Stats,6-2,206,4.56,40,22,126,7.14,4.2,Indianapolis Colts / 2nd / 37th pick / 2001
Gary Baxter,CB,Baylor,,6-2,204,4.53,37.5,,122,7.39,4.21,Baltimore Ravens / 2nd / 62nd pick / 2001
Jonathan Beasley,QB,Kansas State,College Stats,6-0,227,4.85,29.5,,102,7.55,4.38,
Monty Beisel,DE,Kansas State,College Stats,6-4,270,4.83,34.5,25,110,7.32,4.28,Kansas City Chiefs / 4th / 107th pick / 2001
Marcus Bell,DT,Memphis,College Stats,6-1,319,5.32,,17,98,8.07,4.71,Arizona Cardinals / 4th / 123rd pick / 2001
Kendrell Bell,ILB,Georgia,College Stats,6-1,234,4.64,38.5,24,124,7.25,4.5,Pittsburgh Steelers / 2nd / 39th pick / 2001
Michael Bennett,RB,Wisconsin,College Stats,5-9,207,4.38,39.5,13,130,,,Minnesota Vikings / 1st / 27th pick / 2001
Eddie Berlin,WR,New Mexico,,5-11,191,4.43,39.5,,122,6.78,4.08,Tennessee Titans / 5th / 159th pick / 2001
Cory Bird,S,Virginia Tech,College Stats,5-10,217,4.6,,22,,,,Indianapolis Colts / 3rd / 91st pick / 2001
Darvell Bivens,FB,NW State (LA),,5-10,255,4.97,33.5,32,108,7.81,4.38,
Randy Black,S,UNLV,College Stats,6-0,205,4.74,35.5,,115,7.14,4.2,
Harold Blackmon,CB,Northwestern,College Stats,5-11,210,4.54,37,17,121,7.03,4.28,Seattle Seahawks / 7th / 210th pick / 2001
Willie Blade,DT,Mississippi State,,6-3,316,4.93,,,,,,Dallas Cowboys / 3rd / 93rd pick / 2001
Al Blades,S,Miami (FL),College Stats,6-1,209,4.56,,,,,,
Derrick Blaylock,RB,Stephen F. Austin,,5-10,194,4.36,35.5,18,119,7.05,4.09,Kansas City Chiefs / 5th / 150th pick / 2001
David Bobo,OG,TCU,,6-4,290,5.28,31,19,106,7.81,4.89,
Fred Booker,CB,LSU,College Stats,5-9,193,4.65,,,,,,
