Player,Name,Team,Position,College
1,Andrew Luck,Colts,QB,Stanford
2,Robert Griffin,Redskins,QB,Baylor
3,Trent Richardson,Browns,RB,Alabama
4,Matt Kalil,Vikings,T,USC
5,Justin Blackmon,Jaguars,WR,Oklahoma State
6,Morris Claiborne,Cowboys,DB,Louisiana State
7,Mark Barron,Buccaneers,DB,Alabama
8,Ryan Tannehill,Dolphins,QB,Texas A&M
9,Luke Kuechly,Panthers,LB,Boston College
10,Stephon Gilmore,Bills,DB,South Carolina
11,Dontari Poe,Chiefs,DT,Memphis
12,Fletcher Cox,Eagles,DT,Mississippi State
13,Michael Floyd,Cardinals,WR,Notre Dame
14,Michael Brockers,Rams,DT,Louisiana State
15,Bruce Irvin,Seahawks,DE,West Virginia
16,Quinton Coples,Jets,DE,North Carolina
17,Dre Kirkpatrick,Bengals,DB,Alabama
18,Melvin Ingram,Chargers,DE,South Carolina
19,Shea McClellin,Bears,DE,Boise State
20,Kendall Wright,Titans,WR,Baylor
21,Chandler Jones,Patriots,DE,Syracuse
22,Brandon Weeden,Browns,QB,Oklahoma State
23,Riley Reiff,Lions,T,Iowa
24,David DeCastro,Steelers,G,Stanford
25,Dont'a Hightower,Patriots,LB,Alabama
26,Whitney Mercilus,Texans,DE,Illinois
27,Kevin Zeitler,Bengals,G,Wisconsin
28,Nick Perry,Packers,DE,USC
29,Harrison Smith,Vikings,DB,Notre Dame
30,A.J. Jenkins,49ers,WR,Illinois
31,Doug Martin,Buccaneers,RB,Boise State
32,David Wilson,Giants,RB,Virginia Tech
33,Brian Quick,Rams,WR,Appalachian State
34,Coby Fleener,Colts,TE,Stanford
35,Courtney Upshaw,Ravens,LB,Alabama
36,Derek Wolfe,Broncos,DT,Cincinnati
37,Mitchell Schwartz,Browns,T,California
38,Andre Branch,Jaguars,DE,Clemson
39,Janoris Jenkins,Rams,DB,North Alabama
40,Amini Silatolu,Panthers,T,Midwestern State (TX)
41,Cordy Glenn,Bills,T,Georgia
42,Jonathan Martin,Dolphins,T,Stanford
43,Stephen Hill,Jets,WR,Georgia Tech
44,Jeff Allen,Chiefs,T,Illinois
45,Alshon Jeffery,Bears,WR,South Carolina
46,Mychal Kendricks,Eagles,LB,California
47,Bobby Wagner,Seahawks,LB,Utah State
48,Tavon Wilson,Patriots,DB,Illinois
49,Kendall Reyes,Chargers,DT,Connecticut
50,Isaiah Pead,Rams,RB,Cincinnati
51,Jerel Worthy,Packers,DT,Michigan State
52,Zach Brown,Titans,LB,North Carolina
53,Devon Still,Bengals,DT,Penn State
54,Ryan Broyles,Lions,WR,Oklahoma
55,Peter Konz,Falcons,C,Wisconsin
56,Mike Adams,Steelers,T,Ohio State
57,Brock Osweiler,Broncos,QB,Arizona State
58,Lavonte David,Buccaneers,LB,Nebraska
59,Vinny Curry,Eagles,DE,Marshall
60,Kelechi Osemele,Ravens,T,Iowa State
61,LaMichael James,49ers,RB,Oregon
62,Casey Hayward,Packers,DB,Vanderbilt
63,Rueben Randle,Giants,WR,Louisiana State
64,Dwayne Allen,Colts,TE,Clemson
65,Trumaine Johnson,Rams,DB,Montana
66,Josh Robinson,Vikings,DB,Central Florida
67,Ronnie Hillman,Broncos,RB,San Diego State
68,DeVier Posey,Texans,WR,Ohio State
69,T.J. Graham,Bills,WR,North Carolina State
70,Bryan Anger,Jaguars,P,California
71,Josh Leribeus,Redskins,G,Southern Methodist
72,Olivier Vernon,Dolphins,DE,Miami (FL)
73,Brandon Taylor,Chargers,DB,Louisiana State
74,Donald Stephenson,Chiefs,T,Oklahoma
75,Russell Wilson,Seahawks,QB,Wisconsin
76,Brandon Brooks,Texans,G,Miami (OH)
77,Demario Davis,Jets,LB,Arkansas State
78,Michael Egnew,Dolphins,TE,Missouri
79,Brandon Hardin,Bears,DB,Oregon State
80,Jamell Fleming,Cardinals,DB,Oklahoma
81,Tyrone Crawford,Cowboys,DE,Boise State
82,Mike Martin,Titans,DT,Michigan
83,Mohamed Sanu,Bengals,WR,Rutgers
84,Bernard Pierce,Ravens,RB,Temple
85,Dwight Bentley,Lions,DB,Louisiana-Lafayette
86,Sean Spence,Steelers,LB,Miami (FL)
87,John Hughes,Browns,DT,Cincinnati
88,Nick Foles,Eagles,QB,Arizona
89,Akiem Hicks,Saints,DE,Regina
90,Jake Bequette,Patriots,DE,Arkansas
91,Lamar Holmes,Falcons,T,Southern Mississippi
92,T.Y. Hilton,Colts,WR,Florida International
93,Brandon Thompson,Bengals,DT,Clemson
94,Jayron Hosley,Giants,DB,Virginia Tech
95,Tony Bergstrom,Raiders,G,Utah
96,Chris Givens,Rams,WR,Wake Forest
97,Lamar Miller,Dolphins,RB,Miami (FL)
98,Gino Gradkowski,Ravens,G,Delaware
99,Ben Jones,Texans,C,Georgia
100,Travis Benjamin,Browns,WR,Miami (FL)
101,Omar Bolden,Broncos,DB,Arizona State
102,Kirk Cousins,Redskins,QB,Michigan State
103,Frank Alexander,Panthers,DE,Oklahoma
104,Joe Adams,Panthers,WR,Arkansas
105,Nigel Bradham,Bills,LB,Florida State
106,Robert Turbin,Seahawks,RB,Utah State
107,Devon Wylie,Chiefs,WR,Fresno State
108,Philip Blake,Broncos,C,Baylor
109,Alameda Ta'amu,Steelers,DT,Washington
110,Ladarius Green,Chargers,TE,Louisiana-Lafayette
111,Evan Rodriguez,Bears,TE,Temple
112,Bobby Massie,Cardinals,T,Mississippi
113,Kyle Wilber,Cowboys,LB,Wake Forest
114,Jaye Howard,Seahawks,DT,Florida
115,Coty Sensabaugh,Titans,DB,Clemson
116,Orson Charles,Bengals,TE,Georgia
117,Joe Looney,49ers,G,Wake Forest
118,Jarius Wright,Vikings,WR,Arkansas
119,Keenan Robinson,Redskins,LB,Texas
120,James-Michael Johnson,Browns,LB,Nevada
121,Keshawn Martin,Texans,WR,Michigan State
122,Nick Toon,Saints,WR,Wisconsin
123,Brandon Boykin,Eagles,DB,Georgia
124,Ron Brooks,Bills,DB,Louisiana State
125,Ronnell Lewis,Lions,LB,Oklahoma
126,Jared Crick,Texans,DT,Nebraska
127,Adrien Robinson,Giants,TE,Cincinnati
128,Rhett Ellison,Vikings,RB,USC
129,Miles Burris,Raiders,LB,San Diego State
130,Christian Thompson,Ravens,DB,South Carolina State
131,Brandon Mosley,Giants,T,Auburn
132,Mike Daniels,Packers,DT,Iowa
133,Jeron McMillian,Packers,DB,Maine
134,Greg Childs,Vikings,WR,Arkansas
135,Matt Johnson,Cowboys,DB,Eastern Washington
136,Josh Chapman,Colts,DT,Alabama
137,Malik Jackson,Broncos,DT,Tennessee
138,Tahir Whitehead,Lions,LB,Temple
139,Robert Blanton,Vikings,DB,Notre Dame
140,Najee Goode,Buccaneers,LB,West Virginia
141,Adam Gettis,Redskins,G,Iowa
142,Brandon Marshall,Jaguars,LB,Nevada
143,Josh Norman,Panthers,DB,Coastal Carolina
144,Zebrie Sanders,Bills,T,Florida State
145,Taylor Thompson,Titans,TE,Southern Methodist
146,DeQuan Menzie,Chiefs,DB,Alabama
147,Tank Carder,Bills,LB,Texas Christian
148,Chris Greenwood,Lions,DB,Albion
149,Johnnie Troutman,Chargers,G,Penn State
150,Rokevious Watkins,Rams,T,South Carolina
151,Senio Kelemete,Cardinals,T,Washington
152,Danny Coale,Cowboys,WR,Virginia Tech
153,Dennis Kelly,Eagles,T,Purdue
154,Korey Toomer,Seahawks,LB,Idaho
155,Josh Kaddu,Dolphins,LB,Oregon
156,Shaun Prater,Bengals,DB,Iowa
157,Bradie Ewing,Falcons,RB,Wisconsin
158,Jack Crawford,Raiders,DE,Penn State
159,Chris Rainey,Steelers,RB,Florida
160,Ryan Miller,Browns,G,Colorado
161,Randy Bullock,Texans,K,Texas A&M
162,Corey White,Saints,DB,Samford
163,Terrell Manning,Packers,LB,North Carolina State
164,Jonathan Massaquoi,Falcons,DE,Troy
165,Darius Fleming,49ers,LB,Notre Dame
166,Marvin Jones,Bengals,WR,California
167,George Iloka,Bengals,DB,Boise State
168,Juron Criner,Raiders,WR,Arizona
169,Asa Jackson,Ravens,DB,Cal Poly
170,Vick Ballard,Colts,RB,Mississippi State
171,Greg Zuerlein,Rams,K,Missouri Western
172,Jeremy Lane,Seahawks,DB,Northwestern State (LA)
173,Alfred Morris,Redskins,RB,Florida Atlantic
174,Keith Tandy,Buccaneers,DB,West Virginia
175,Blair Walsh,Vikings,K,Georgia
176,Mike Harris,Jaguars,DB,Florida State
177,Justin Bethel,Cardinals,DB,Presbyterian
178,Mark Asper,Bills,G,Oregon
179,Andrew Tiller,Saints,G,Syracuse
180,Trent Robinson,49ers,DB,Michigan State
181,Winston Guy,Seahawks,DB,Kentucky
182,Cyrus Gray,Chiefs,RB,Texas A&M
183,B.J. Cunningham,Dolphins,WR,Michigan State
184,Isaiah Frey,Bears,DB,Nevada
185,Ryan Lindley,Cardinals,QB,San Diego State
186,James Hanna,Cowboys,TE,Oklahoma
187,Josh Bush,Jets,DB,Wake Forest
188,Danny Trevathan,Broncos,LB,Kentucky
189,Christo Bilukidi,Raiders,DE,Georgia State
190,Markelle Martin,Titans,DB,Oklahoma State
191,Daniel Herron,Bengals,RB,Ohio State
192,Charles Mitchell,Falcons,DB,Mississippi State
193,Tom Compton,Redskins,T,South Dakota
194,Marvin McNutt,Eagles,WR,Iowa
195,Nick Mondek,Texans,T,Purdue
196,Jonte Green,Lions,DB,New Mexico State
197,Nate Ebner,Patriots,DB,Ohio State
198,Tommy Streeter,Ravens,WR,Miami (FL)
199,Jason Slowey,49ers,C,Western Oregon
200,Brandon Washington,Eagles,G,Miami (FL)
201,Matt McCants,Giants,T,Alabama-Birmingham
202,Terrance Ganaway,Jets,RB,Baylor
203,Robert T. Griffin,Jets,G,Baylor
204,Emmanuel Acho,Browns,LB,Texas
205,Billy Winn,Browns,DT,Boise State
206,LaVon Brazill,Colts,WR,Ohio
207,Brad Nortman,Panthers,P,Wisconsin
208,Justin Anderson,Colts,T,Georgia
209,Aaron Brown,Rams,LB,Hawaii
210,Audie Cole,Vikings,LB,North Carolina State
211,Scott Solomon,Titans,DE,Rice
212,Michael Smith,Buccaneers,RB,Utah State
213,Richard Crawford,Redskins,DB,Southern Methodist
214,Tim Fugger,Colts,DE,Vanderbilt
215,Kheeston Randall,Dolphins,DT,Texas
216,D.J. Campbell,Panthers,DB,California
217,Jordan Bernstine,Redskins,DB,Iowa
218,Jerome Long,Chiefs,DT,San Diego State
219,Trevor Guyton,Vikings,DE,California
220,Greg McCoy,Bears,DB,Texas Christian
221,Nate Potter,Cardinals,T,Boise State
222,Caleb McSurdy,Cowboys,LB,Montana
223,Travis Lewis,Lions,LB,Oklahoma
224,Alfonzo Dennard,Patriots,DB,Nebraska
225,J R Sweezy,Seahawks,DE,North Carolina State
226,David Molk,Chargers,C,Michigan
227,Rishard Matthews,Dolphins,WR,Nevada
228,Jeris Pendleton,Jaguars,DT,Ashland
229,Bryce Brown,Eagles,RB,Kansas State
230,Nathan Stupar,Raiders,LB,Penn State
231,Toney Clemons,Steelers,WR,Colorado
232,Greg Scruggs,Seahawks,DE,Louisville
233,Drake Dunsmore,Buccaneers,TE,Northwestern
234,Marcel Jones,Saints,T,Nebraska
235,Jeremy Ebert,Patriots,WR,Northwestern
236,Deangelo Tyson,Ravens,DE,Georgia
237,Cam Johnson,49ers,DE,Virginia
238,Junior Hemingway,Chiefs,WR,Michigan
239,Markus Kuhn,Giants,DT,North Carolina State
240,David Paulson,Steelers,TE,Oregon
241,Andrew Datko,Packers,T,Florida State
242,Antonio Allen,Jets,DB,South Carolina
243,B.J. Coleman,Packers,QB,Tennessee-Chattanooga
244,Jordan White,Jets,WR,Western Michigan
245,Trevin Wade,Browns,DB,Arizona
246,Terrence Frederick,Steelers,DB,Texas A&M
247,Brad Smelley,Browns,TE,Alabama
248,Kelvin Beachum,Steelers,T,Southern Methodist
249,Travian Robertson,Falcons,DT,South Carolina
250,Edwin Baker,Chargers,RB,Michigan State
251,John Potter,Bills,K,Western Michigan
252,Daryl Richardson,Rams,RB,Abilene Christian
253,Chandler Harnish,Colts,QB,Northern Illinois
