Player,Name,Team,Position,College
1,Jared Goff,Rams,QB,California
2,Carson Wentz,Eagles,QB,North Dakota State
3,Joey Bosa,Chargers,DE,Ohio State
4,Ezekiel Elliott,Cowboys,RB,Ohio State
5,Jalen Ramsey,Jaguars,DB,Florida State
6,Ronnie Stanley,Ravens,T,Notre Dame
7,DeForest Buckner,49ers,DE,Oregon
8,Jack Conklin,Titans,T,Michigan State
9,Leonard Floyd,Bears,LB,Georgia
10,Eli Apple,Giants,DB,Ohio State
11,Vernon Hargreaves,Buccaneers,DB,Florida
12,Sheldon Rankins,Saints,DT,Louisville
13,Laremy Tunsil,Dolphins,T,Mississippi
14,Karl Joseph,Raiders,DB,West Virginia
15,Corey Coleman,Browns,WR,Baylor
16,Taylor Decker,Lions,T,Ohio State
17,Keanu Neal,Falcons,DB,Florida
18,Ryan Kelly,Colts,C,Alabama
19,Shaq Lawson,Bills,DE,Clemson
20,Darron Lee,Jets,LB,Ohio State
21,Will Fuller,Texans,WR,Notre Dame
22,Josh Doctson,Redskins,WR,Texas Christian
23,Laquon Treadwell,Vikings,WR,Mississippi
24,William Jackson III,Bengals,DB,Houston
25,Artie Burns,Steelers,DB,Miami (FL)
26,Paxton Lynch,Broncos,QB,Memphis
27,Kenny Clark,Packers,DT,UCLA
28,Joshua Garnett,49ers,G,Stanford
29,Robert Nkemdiche,Cardinals,DT,Mississippi
30,Vernon Butler,Panthers,DT,Louisiana Tech
31,Germain Ifedi,Seahawks,G,Texas A&M
32,Emmanuel Ogbah,Browns,DE,Oklahoma State
33,Kevin Dodd,Titans,DE,Clemson
34,Jaylon Smith,Cowboys,LB,Notre Dame
35,Hunter Henry,Chargers,TE,Arkansas
36,Myles Jack,Jaguars,LB,UCLA
37,Chris Jones,Chiefs,DT,Mississippi State
38,Xavien Howard,Dolphins,DB,Baylor
39,Noah Spence,Buccaneers,DE,Eastern Kentucky
40,Sterling Shepard,Giants,WR,Oklahoma
41,Reggie Ragland,Bills,LB,Alabama
42,Kamalei Correa,Ravens,DE,Boise State
43,Austin Johnson,Titans,DT,Penn State
44,Jihad Ward,Raiders,DE,Illinois
